Entry_ID,Symbol,Signal_Date,Entry_Date,Entry_Open,Exit_Date,Exit_Price,Holding_Sessions,Gross_Return,Exit_Reason
DLF-2023-08-01,DLF,2023-08-01,2023-08-02,483.0909886757892,2023-08-09,476.02328570349385,5,-0.014630169342774946,FIXED_HORIZON
EQUITASBNK-2023-08-01,EQUITASBNK,2023-08-01,2023-08-02,90.3407439224463,2023-08-09,90.340742397411,5,-1.688092465812474e-08,FIXED_HORIZON
HEROMOTOCO-2023-08-01,HEROMOTOCO,2023-08-01,2023-08-02,2762.276430285492,2023-08-09,2779.2869614758033,5,0.006158156730372344,FIXED_HORIZON
IRB-2023-08-01,IRB,2023-08-01,2023-08-02,12.43795671686566,2023-08-09,12.584861871954793,5,0.011811036043398726,FIXED_HORIZON
KEI-2023-08-01,KEI,2023-08-01,2023-08-02,2267.7270760490724,2023-08-09,2417.1943731901056,5,0.06591061980943547,FIXED_HORIZON
MAXHEALTH-2023-08-01,MAXHEALTH,2023-08-01,2023-08-02,569.3914352675273,2023-08-09,554.485801432814,5,-0.02617818413041273,FIXED_HORIZON
POWERGRID-2023-08-01,POWERGRID,2023-08-01,2023-08-02,167.98097882111873,2023-08-09,164.55768442406995,5,-0.020379059707076763,FIXED_HORIZON
ABCAPITAL-2023-08-02,ABCAPITAL,2023-08-02,2023-08-03,189.0,2023-08-10,187.64999389648438,5,-0.007142889436590583,FIXED_HORIZON
AWL-2023-08-02,AWL,2023-08-02,2023-08-03,393.94211863592886,2023-08-10,374.1455444883859,5,-0.050252494493584376,FIXED_HORIZON
BEL-2023-08-02,BEL,2023-08-02,2023-08-03,122.0726373025684,2023-08-10,127.95507259556703,5,0.04818799219040759,FIXED_HORIZON
BHARATFORG-2023-08-02,BHARATFORG,2023-08-02,2023-08-03,885.5169194538565,2023-08-10,959.3346645268938,5,0.0833611910188734,FIXED_HORIZON
BOSCHLTD-2023-08-02,BOSCHLTD,2023-08-02,2023-08-03,17684.957063013735,2023-08-10,17721.562838266316,5,0.0020698820541180663,FIXED_HORIZON
