Metric,Estimate,CI_Lower,CI_Upper,Seed,Resamples,Confidence
GROSS_SETUP_MEAN_RETURN,0.009365203182827948,0.006641708950117099,0.012064886159618923,20260828,10000,0.95
BASE_NET_SETUP_MEAN_RETURN,0.005365203182827944,0.0026417089501170957,0.00806488615961892,20260828,10000,0.95
BASE_NET_PRACTICAL_MEAN_R,-0.304963031947006,-0.4456244232537943,-0.1568414385128129,20260828,10000,0.95
LOW_MINUS_HIGH_GROSS_MEAN_RETURN,-0.0011925668748950877,-0.004325361607182469,0.0019671051223700076,20260828,10000,0.95
