Signal_ID,Symbol,Signal_Date,Open,High,Low,Close,Volume,Return,Sigma20,Shock_Score,Prior20_Median_Volume,Volume_Ratio,Prior20_Median_Traded_Value,ATR14_Signal,Point_In_Time_Member,Cohort,Data_Eligible,Liquidity_OK
DLF-2023-08-01,DLF,2023-08-01,496.69028735502314,498.6400038902735,484.4070672328834,487.1366882324219,15013979,-0.03672282290237838,0.017708018411299625,-2.073796291003699,3744242.5,4.009884242273303,1797776675.366684,12.833063995406352,True,HIGH_VOLUME,True,True
EQUITASBNK-2023-08-01,EQUITASBNK,2023-08-01,94.29006765893118,94.33943719959501,90.39011499398534,90.63694763183594,14705487,-0.031134516184463057,0.014815884173928333,-2.1014281577100062,5449677.5,2.6984141722147776,494238870.35774994,3.1637032009909896,True,HIGH_VOLUME,True,True
HEROMOTOCO-2023-08-01,HEROMOTOCO,2023-08-01,2910.2258806508034,2927.416828097019,2736.3315897032016,2799.364990234375,3043469,-0.031713411060079744,0.015576439406269614,-2.0359859036407832,743712.0,4.092268243621187,2052923216.5620117,66.93340011894581,True,HIGH_VOLUME,True,True
IRB-2023-08-01,IRB,2023-08-01,12.511410296592285,12.756251992682131,12.364505652537158,12.388989448547363,45936242,-0.04347827687624328,0.016086814968692544,-2.702727479669456,13053757.0,3.5190054480101014,164294087.27803898,0.3377438836997443,True,HIGH_VOLUME,True,True
KEI-2023-08-01,KEI,2023-08-01,2292.596700803088,2398.5047005684482,2217.93788819276,2263.042236328125,2364777,-0.0655266051213147,0.01970261273902717,-3.3257825238334413,160526.5,14.73138080005482,381616281.1900635,98.7325662237722,True,HIGH_VOLUME,True,True
MAXHEALTH-2023-08-01,MAXHEALTH,2023-08-01,591.1535086233964,591.2031816070729,564.6713186910812,568.69580078125,2483065,-0.03798953028344143,0.013786854295698488,-2.7554893573724213,1241071.0,2.0007437124870373,751612713.6773987,15.249396542871759,True,HIGH_VOLUME,True,True
POWERGRID-2023-08-01,POWERGRID,2023-08-01,174.0253952781705,174.0253952781705,166.3868760197775,167.2503662109375,31395702,-0.05356125971129999,0.018669928129247268,-2.8688519495366407,13987372.5,2.2445746690452406,2312107392.600212,4.402657009548598,True,HIGH_VOLUME,True,True
ABCAPITAL-2023-08-02,ABCAPITAL,2023-08-02,195.39999389648438,195.39999389648438,185.0,189.9499969482422,10634402,-0.031608448336297945,0.01353489920944538,-2.335329421163319,3246951.0,3.2751963303419114,622230076.6290741,4.840533369200737,True,HIGH_VOLUME,True,True
AWL-2023-08-02,AWL,2023-08-02,409.85896992772706,412.2962502177372,393.5939294910791,398.4187316894531,2378610,-0.03050107395480628,0.012641092569979353,-2.412851087511346,1024495.5,2.3217378700052853,412128920.941452,10.560950011770954,True,HIGH_VOLUME,True,True
BEL-2023-08-02,BEL,2023-08-02,126.83692535084579,127.0800011046175,120.27387999900957,121.87818145751953,20816954,-0.039095458162729524,0.013015180720786938,-3.0038352137737885,12527963.0,1.661639166718484,1531795090.141594,3.036677784663437,True,HIGH_VOLUME,True,True
BHARATFORG-2023-08-02,BHARATFORG,2023-08-02,918.0517455993562,918.1008798398204,879.7176791342868,890.1858520507812,1726166,-0.02988583562501068,0.011382033633681727,-2.625702628093848,896956.5,1.9244701387413994,757267334.522644,19.055687483370995,True,HIGH_VOLUME,True,True
BOSCHLTD-2023-08-02,BOSCHLTD,2023-08-02,18399.383782632205,18399.43295861682,17536.45306150356,17684.955078125,71009,-0.03861907740867154,0.01071784816876448,-3.6032491597726586,21634.5,3.28221128290462,398798153.7792969,364.53396156534285,True,HIGH_VOLUME,True,True
CAMPUS-2023-08-02,CAMPUS,2023-08-02,298.83289500269393,298.83289500269393,279.78477172851564,286.958740234375,11680182,-0.04290432334976935,0.012331797297506482,-3.4791622271025084,368635.5,31.68490826304032,111878999.38764954,7.476161920786508,True,HIGH_VOLUME,True,True
CARBORUNIV-2023-08-02,CARBORUNIV,2023-08-02,1283.63878523183,1290.3630796478371,1217.2863218082484,1226.72998046875,274601,-0.03582938006670944,0.017390603410370884,-2.060272390855776,114018.5,2.408389866556743,134688710.20495605,37.7098406507357,True,HIGH_VOLUME,True,True
CHOLAFIN-2023-08-02,CHOLAFIN,2023-08-02,1094.4612467848842,1121.7481120097714,1069.0167169433514,1094.859619140625,9033508,-0.027466714463340813,0.012888986130470292,-2.131022113400211,1427997.0,6.325999284312222,1649277198.6813965,30.067544787231885,True,HIGH_VOLUME,True,True
