Period,Signal_Start,Signal_End,Completed_Trades,Base_Net_Mean_Return,Base_Net_Return_PF
FIRST_HALF,2023-08-01,2025-02-11,747,0.007061163755581368,1.38107248061447
SECOND_HALF,2025-02-12,2026-08-25,677,0.0034938749289858293,1.2338521495702552
