Regime,Completed_Trades,Gross_Mean_Return,Base_Net_Mean_Return,Base_Net_Return_PF
RISK_ON,515,0.01595005318396465,0.011950053183964646,1.9761065913033853
MIXED,456,0.008971466512020685,0.004971466512020683,1.3220466769201624
RISK_OFF,453,0.00227544488547343,-0.0017245551145265736,0.9263843545934365
