Effective_Date,Symbol,Canonical_Symbol,Action,Press_Release_Date,Source_URL,Notes
2024-03-28,EPIGRAL,EPIGRAL,EXCLUDE,2024-02-28,https://www.niftyindices.com/Press_Release/ind_prs28022024.pdf,Semi-annual Nifty 500 review; IREDA/VGUARD correction recorded separately.
2024-03-28,GALAXYSURF,GALAXYSURF,EXCLUDE,2024-02-28,https://www.niftyindices.com/Press_Release/ind_prs28022024.pdf,Semi-annual Nifty 500 review; IREDA/VGUARD correction recorded separately.
2024-03-28,GOCOLORS,GOCOLORS,EXCLUDE,2024-02-28,https://www.niftyindices.com/Press_Release/ind_prs28022024.pdf,Semi-annual Nifty 500 review; IREDA/VGUARD correction recorded separately.
2024-03-28,GRINFRA,GRINFRA,EXCLUDE,2024-02-28,https://www.niftyindices.com/Press_Release/ind_prs28022024.pdf,Semi-annual Nifty 500 review; IREDA/VGUARD correction recorded separately.
2024-03-28,GUJALKALI,GUJALKALI,EXCLUDE,2024-02-28,https://www.niftyindices.com/Press_Release/ind_prs28022024.pdf,Semi-annual Nifty 500 review; IREDA/VGUARD correction recorded separately.
2024-03-28,HLEGLAS,HLEGLAS,EXCLUDE,2024-02-28,https://www.niftyindices.com/Press_Release/ind_prs28022024.pdf,Semi-annual Nifty 500 review; IREDA/VGUARD correction recorded separately.
2024-03-28,INFIBEAM,INFIBEAM,EXCLUDE,2024-02-28,https://www.niftyindices.com/Press_Release/ind_prs28022024.pdf,Semi-annual Nifty 500 review; IREDA/VGUARD correction recorded separately.
2024-03-28,INGERRAND,INGERRAND,EXCLUDE,2024-02-28,https://www.niftyindices.com/Press_Release/ind_prs28022024.pdf,Semi-annual Nifty 500 review; IREDA/VGUARD correction recorded separately.
2024-03-28,JAMNAAUTO,JAMNAAUTO,EXCLUDE,2024-02-28,https://www.niftyindices.com/Press_Release/ind_prs28022024.pdf,Semi-annual Nifty 500 review; IREDA/VGUARD correction recorded separately.
2024-03-28,LAXMIMACH,LAXMIMACH,EXCLUDE,2024-02-28,https://www.niftyindices.com/Press_Release/ind_prs28022024.pdf,Semi-annual Nifty 500 review; IREDA/VGUARD correction recorded separately.
2024-03-28,LUXIND,LUXIND,EXCLUDE,2024-02-28,https://www.niftyindices.com/Press_Release/ind_prs28022024.pdf,Semi-annual Nifty 500 review; IREDA/VGUARD correction recorded separately.
2024-03-28,NAZARA,NAZARA,EXCLUDE,2024-02-28,https://www.niftyindices.com/Press_Release/ind_prs28022024.pdf,Semi-annual Nifty 500 review; IREDA/VGUARD correction recorded separately.
2024-03-28,ORIENTELEC,ORIENTELEC,EXCLUDE,2024-02-28,https://www.niftyindices.com/Press_Release/ind_prs28022024.pdf,Semi-annual Nifty 500 review; IREDA/VGUARD correction recorded separately.
2024-03-28,PFIZER,PFIZER,EXCLUDE,2024-02-28,https://www.niftyindices.com/Press_Release/ind_prs28022024.pdf,Semi-annual Nifty 500 review; IREDA/VGUARD correction recorded separately.
2024-03-28,PGHL,PGHL,EXCLUDE,2024-02-28,https://www.niftyindices.com/Press_Release/ind_prs28022024.pdf,Semi-annual Nifty 500 review; IREDA/VGUARD correction recorded separately.
2024-03-28,POLYPLEX,POLYPLEX,EXCLUDE,2024-02-28,https://www.niftyindices.com/Press_Release/ind_prs28022024.pdf,Semi-annual Nifty 500 review; IREDA/VGUARD correction recorded separately.
2024-03-28,RAIN,RAIN,EXCLUDE,2024-02-28,https://www.niftyindices.com/Press_Release/ind_prs28022024.pdf,Semi-annual Nifty 500 review; IREDA/VGUARD correction recorded separately.
2024-03-28,RALLIS,RALLIS,EXCLUDE,2024-02-28,https://www.niftyindices.com/Press_Release/ind_prs28022024.pdf,Semi-annual Nifty 500 review; IREDA/VGUARD correction recorded separately.
2024-03-28,RELAXO,RELAXO,EXCLUDE,2024-02-28,https://www.niftyindices.com/Press_Release/ind_prs28022024.pdf,Semi-annual Nifty 500 review; IREDA/VGUARD correction recorded separately.
2024-03-28,ROSSARI,ROSSARI,EXCLUDE,2024-02-28,https://www.niftyindices.com/Press_Release/ind_prs28022024.pdf,Semi-annual Nifty 500 review; IREDA/VGUARD correction recorded separately.
2024-03-28,SFL,SFL,EXCLUDE,2024-02-28,https://www.niftyindices.com/Press_Release/ind_prs28022024.pdf,Semi-annual Nifty 500 review; IREDA/VGUARD correction recorded separately.
2024-03-28,SHARDACROP,SHARDACROP,EXCLUDE,2024-02-28,https://www.niftyindices.com/Press_Release/ind_prs28022024.pdf,Semi-annual Nifty 500 review; IREDA/VGUARD correction recorded separately.
2024-03-28,SHOPERSTOP,SHOPERSTOP,EXCLUDE,2024-02-28,https://www.niftyindices.com/Press_Release/ind_prs28022024.pdf,Semi-annual Nifty 500 review; IREDA/VGUARD correction recorded separately.
2024-03-28,SUPRAJIT,SUPRAJIT,EXCLUDE,2024-02-28,https://www.niftyindices.com/Press_Release/ind_prs28022024.pdf,Semi-annual Nifty 500 review; IREDA/VGUARD correction recorded separately.
2024-03-28,SYMPHONY,SYMPHONY,EXCLUDE,2024-02-28,https://www.niftyindices.com/Press_Release/ind_prs28022024.pdf,Semi-annual Nifty 500 review; IREDA/VGUARD correction recorded separately.
2024-03-28,TEAMLEASE,TEAMLEASE,EXCLUDE,2024-02-28,https://www.niftyindices.com/Press_Release/ind_prs28022024.pdf,Semi-annual Nifty 500 review; IREDA/VGUARD correction recorded separately.
2024-03-28,TTKPRESTIG,TTKPRESTIG,EXCLUDE,2024-02-28,https://www.niftyindices.com/Press_Release/ind_prs28022024.pdf,Semi-annual Nifty 500 review; IREDA/VGUARD correction recorded separately.
2024-03-28,VINATIORGA,VINATIORGA,EXCLUDE,2024-02-28,https://www.niftyindices.com/Press_Release/ind_prs28022024.pdf,Semi-annual Nifty 500 review; IREDA/VGUARD correction recorded separately.
2024-03-28,VMART,VMART,EXCLUDE,2024-02-28,https://www.niftyindices.com/Press_Release/ind_prs28022024.pdf,Semi-annual Nifty 500 review; IREDA/VGUARD correction recorded separately.
2024-03-28,ZYDUSWELL,ZYDUSWELL,EXCLUDE,2024-02-28,https://www.niftyindices.com/Press_Release/ind_prs28022024.pdf,Semi-annual Nifty 500 review; IREDA/VGUARD correction recorded separately.
