Date,Sector_Key,Index_Name,Yahoo_Ticker,Close,Ret21,Ret63,Ret126,RS21_Percentile,RS63_Percentile,RS126_Percentile,Composite_RS,Composite_Rank,Sector_Count,Is_Full_Universe,Leadership_Bucket
2022-07-06,FMCG,NIFTY FMCG,^CNXFMCG,40740.1484375,0.08210866325811317,0.08188023390944177,0.0833402495380513,100.0,90.9090909090909,100.0,96.36363636363637,1,11,True,LEADING
2022-07-06,AUTO,NIFTY AUTO,^CNXAUTO,11952.2001953125,0.05192656262502804,0.09287250905797095,0.07536521094824056,90.9090909090909,100.0,90.9090909090909,94.54545454545453,2,11,True,LEADING
2022-07-06,BANK,NIFTY BANK,^NSEBANK,34324.25,-0.01919505086295581,-0.09834134772756986,-0.05759305603192444,45.45454545454545,81.81818181818183,72.72727272727273,68.18181818181819,3,11,True,LEADING
2022-07-06,PHARMA,NIFTY PHARMA,^CNXPHARMA,12331.150390625,0.00419393047535932,-0.10703692158335898,-0.12893461258758698,72.72727272727273,72.72727272727273,45.45454545454545,64.54545454545455,4,11,True,LEADING
2022-07-06,FINANCIAL_SERVICES,NIFTY FIN SERVICE,NIFTY_FIN_SERVICE.NS,15980.25,-0.010633358098068313,-0.11168031518734767,-0.10026438205615384,63.63636363636363,63.63636363636363,54.54545454545454,60.90909090909091,5,11,True,ACCEPTABLE
2022-07-06,ENERGY,NIFTY ENERGY,^CNXENERGY,24079.19921875,-0.0774924868153084,-0.11312624661601323,0.05382886610063786,18.181818181818183,54.54545454545454,81.81818181818183,51.81818181818182,6,11,True,ACCEPTABLE
2022-07-06,INFRASTRUCTURE,NIFTY INFRA,^CNXINFRA,4582.60009765625,-0.04961788424660729,-0.11592551410123464,-0.08536409470569117,27.27272727272727,45.45454545454545,63.63636363636363,45.45454545454545,7,11,True,WEAK
2022-07-06,REALTY,NIFTY REALTY,^CNXREALTY,400.75,0.0100819155639571,-0.15613812349858047,-0.18155824569514545,81.81818181818183,36.36363636363637,18.181818181818183,44.54545454545455,8,11,True,LAGGING
2022-07-06,MEDIA,NIFTY MEDIA,^CNXMEDIA,1936.449951171875,-0.017803300340822337,-0.20903112907711707,-0.1398143242834361,54.54545454545454,27.27272727272727,36.36363636363637,38.18181818181817,9,11,True,LAGGING
2022-07-06,IT,NIFTY IT,^CNXIT,28007.599609375,-0.04579290620818244,-0.23196466325036524,-0.28412886656969216,36.36363636363637,18.181818181818183,9.090909090909092,20.90909090909091,10,11,True,LAGGING
