Entry_ID,Symbol,Signal_Date,Next_Session_Date,Entry_Open,Structural_Stop,Cancellation_Reason,M1_Regime,DATA_SAFE,INDEX_TREND_OK,BREADTH_OK,SMA50_Breadth_Coverage,Pct_Above_SMA50,Nifty500_Close,Nifty500_SMA50,Nifty500_SMA200
ASTRAL-2023-08-16,ASTRAL,2023-08-16,2023-08-17,2017.344223279057,1872.5058957949052,STOP_TOO_WIDE,MOMENTUM_ENABLED,True,True,True,0.9780876494023905,66.39511201629328,16853.05078125,16561.9891015625,15558.881508789062
BHARATFORG-2023-09-14,BHARATFORG,2023-09-14,2023-09-15,1110.7051357445737,1039.5408522080677,OPEN_ABOVE_EXTENSION_LIMIT,MOMENTUM_ENABLED,True,True,True,0.9800399201596807,82.89205702647658,17603.5,16967.69609375,15728.362763671876
JBCHEPHARM-2023-09-25,JBCHEPHARM,2023-09-25,2023-09-26,1390.759473006429,1322.3834484406168,OPEN_BELOW_SMA20_SIGNAL,MOMENTUM_ENABLED,True,True,True,0.9800399201596807,66.59877800407332,17272.55078125,17064.475078125,15775.002016601562
CHOLAFIN-2023-09-28,CHOLAFIN,2023-09-28,2023-09-29,1239.8581902053002,1156.6296424585582,OPEN_ABOVE_EXTENSION_LIMIT,MOMENTUM_ENABLED,True,True,True,0.9800399201596807,62.52545824847251,17170.44921875,17090.0610546875,15795.18576171875
WELCORP-2023-10-06,WELCORP,2023-10-06,2023-10-09,373.353643177978,366.69658429990847,OPEN_BELOW_SMA20_SIGNAL,MOMENTUM_ENABLED,True,True,True,0.9800399201596807,62.52545824847251,17293.599609375,17120.0030078125,15828.882514648438
ADANIPOWER-2023-12-01,ADANIPOWER,2023-12-01,2023-12-04,98.8000030517578,82.4136148664692,OPEN_ABOVE_EXTENSION_LIMIT,MOMENTUM_ENABLED,True,True,True,0.9800399201596807,75.96741344195519,18115.349609375,17308.12984375,16198.792978515625
MOTILALOFS-2023-12-29,MOTILALOFS,2023-12-29,2024-01-02,307.6072473800025,1150.5810768535705,OPEN_BELOW_SMA20_SIGNAL,MOMENTUM_ENABLED,True,True,True,0.9800399201596807,86.55804480651732,19429.150390625,17926.872890625,16588.436469726563
SHYAMMETL-2024-01-10,SHYAMMETL,2024-01-10,2024-01-11,667.9570658114461,604.9398511687044,STOP_TOO_WIDE,MOMENTUM_ENABLED,True,True,True,0.9800399201596807,83.5030549898167,19517.849609375,18262.404921875,16760.65197265625
SHYAMMETL-2024-01-19,SHYAMMETL,2024-01-19,2024-01-23,689.631300587611,621.6935366281942,OPEN_ABOVE_EXTENSION_LIMIT,MOMENTUM_ENABLED,True,True,True,0.9800399201596807,75.96741344195519,19606.400390625,18649.9069921875,16945.638486328124
UNIONBANK-2024-01-19,UNIONBANK,2024-01-19,2024-01-23,132.7189636278216,116.2785199814506,OPEN_ABOVE_EXTENSION_LIMIT,MOMENTUM_ENABLED,True,True,True,0.9800399201596807,75.96741344195519,19606.400390625,18649.9069921875,16945.638486328124
