Entry_ID,Symbol,Signal_Date,Next_Session_Date,Entry_Open,Structural_Stop,Cancellation_Reason,M1_Regime,DATA_SAFE,INDEX_TREND_OK,BREADTH_OK,SMA50_Breadth_Coverage,Pct_Above_SMA50,Nifty500_Close,Nifty500_SMA50,Nifty500_SMA200
POWERINDIA-2024-10-09,POWERINDIA,2024-10-09,2024-10-10,15092.019075341086,13144.669090618,OPEN_ABOVE_EXTENSION_LIMIT,MOMENTUM_DISABLED,True,True,False,0.988,44.534412955465584,23599.599609375,23570.244921875,21463.152275390625
PERSISTENT-2024-11-06,PERSISTENT,2024-11-06,2024-11-07,5680.396356826418,5180.163641214724,STOP_TOO_WIDE,MOMENTUM_DISABLED,True,True,False,0.992,32.25806451612903,23031.19921875,23549.0179296875,21843.970283203125
WIPRO-2024-11-22,WIPRO,2024-11-22,2024-11-25,266.69123583587776,248.6774290667012,STOP_TOO_WIDE,MOMENTUM_DISABLED,True,True,False,0.992,20.36290322580645,22225.55078125,23259.7439453125,21976.335029296875
APARINDS-2024-12-18,APARINDS,2024-12-18,2024-12-19,9826.820002447856,9684.329261516648,OPEN_BELOW_SMA20_SIGNAL,MOMENTUM_DISABLED,True,True,False,0.992,48.99193548387097,22934.400390625,22902.7739453125,22250.975
WIPRO-2025-02-18,WIPRO,2025-02-18,2025-02-19,294.2035734470454,283.55382510261745,OPEN_BELOW_SMA20_SIGNAL,MOMENTUM_DISABLED,True,False,False,0.98,8.36734693877551,20611.400390625,21940.388046875,22529.2775
ICICIBANK-2025-04-04,ICICIBANK,2025-04-04,2025-04-07,1274.5868794921314,1288.8702971460812,OPEN_BELOW_SMA20_SIGNAL,MOMENTUM_DISABLED,True,False,False,0.98,47.3469387755102,20805.349609375,20906.4459765625,22460.151708984376
INDIGO-2025-04-04,INDIGO,2025-04-04,2025-04-07,4741.986675355574,4927.319363219206,OPEN_BELOW_SMA20_SIGNAL,MOMENTUM_DISABLED,True,False,False,0.98,47.3469387755102,20805.349609375,20906.4459765625,22460.151708984376
JKCEMENT-2025-04-11,JKCEMENT,2025-04-11,2025-04-15,5065.90390778458,4592.503228727767,OPEN_ABOVE_EXTENSION_LIMIT,MOMENTUM_DISABLED,True,False,False,0.9780439121756487,46.93877551020408,20752.849609375,20837.0789453125,22423.262705078127
JUBLINGREA-2025-07-30,JUBLINGREA,2025-07-30,2025-07-31,799.9205907327716,761.6260079223782,OPEN_BELOW_SMA20_SIGNAL,MOMENTUM_DISABLED,True,True,False,0.9920159680638723,44.46680080482898,23033.55078125,23177.39890625,22240.0594921875
NAVA-2025-07-30,NAVA,2025-07-30,2025-07-31,588.2480371653743,565.9549379053228,OPEN_BELOW_SMA20_SIGNAL,MOMENTUM_DISABLED,True,True,False,0.9920159680638723,44.46680080482898,23033.55078125,23177.39890625,22240.0594921875
YESBANK-2026-01-16,YESBANK,2026-01-16,2026-01-19,23.989999771118164,22.338564039208684,OPEN_ABOVE_EXTENSION_LIMIT,MOMENTUM_DISABLED,True,True,False,0.8962075848303394,32.73942093541203,23485.30078125,23734.4390234375,23047.7225390625
TATASTEEL-2026-01-22,TATASTEEL,2026-01-22,2026-01-23,186.65074139853988,176.21071774002476,STOP_TOO_WIDE,MOMENTUM_DISABLED,True,False,False,0.8962075848303394,20.71269487750557,23008.75,23691.5850390625,23083.075546875
JKTYRE-2026-01-30,JKTYRE,2026-01-30,2026-02-02,496.90033076196073,485.63883495257744,OPEN_BELOW_SMA20_SIGNAL,MOMENTUM_DISABLED,True,False,False,0.8962075848303394,28.73051224944321,23079.5,23605.4930078125,23137.68029296875
APLAPOLLO-2026-02-02,APLAPOLLO,2026-02-02,2026-02-03,2195.89990234375,2018.6079321303607,OPEN_ABOVE_EXTENSION_LIMIT,MOMENTUM_DISABLED,True,False,False,0.8962075848303394,23.16258351893096,22837.0,23585.74,23150.08154296875
HCLTECH-2026-02-03,HCLTECH,2026-02-03,2026-02-04,1594.872135378366,1597.0531018175452,OPEN_BELOW_SMA20_SIGNAL,MOMENTUM_DISABLED,True,True,False,0.8962075848303394,37.41648106904232,23446.30078125,23576.54,23163.548798828124
ATHERENERG-2026-02-27,ATHERENERG,2026-02-27,2026-03-02,680.0,672.7631739686606,OPEN_BELOW_SMA20_SIGNAL,MOMENTUM_DISABLED,True,False,False,0.898,41.648106904231625,23166.849609375,23482.5940625,23301.03828125
NTPC-2026-03-20,NTPC,2026-03-20,2026-03-23,377.1000061035156,370.7444764154317,OPEN_BELOW_SMA20_SIGNAL,MOMENTUM_DISABLED,True,False,False,0.898,20.044543429844097,21327.900390625,22978.10609375,23248.8400390625
