Entry_ID,Symbol,Leader_Date,Signal_Date,Pullback_Age,Leader_Close,ATR14_Seed,ATR14_Signal,Pullback_Low,Pullback_Depth_ATR,Close,Prior_High,SMA20,SMA50,SMA200,Median_Traded_Value_20,RS21,RS63,RS126,Composite_RS,RS_Coverage,Resumption_Volume_Ratio,Seed_Membership_OK,Seed_RS_Coverage,Seed_Composite_RS,Seed_RS_Coverage_OK,Seed_Liquidity_OK,Seed_Trend_OK,Seed_RS_OK,Signal_Membership_OK,Signal_RS_Coverage_OK,Signal_Liquidity_OK,Signal_Trend_OK,Signal_RS_OK,Age_OK,Depth_OK,Resumption_OK,Not_New_Leader_OK,Signal_Qualified,Signal_Rejection_Reason,Entry_Date,Entry_Open,Structural_Stop,Initial_Risk,Exit_Date,Exit_Price,Exit_Reason,Return,Exit_Signal_Date,R_Multiple,Holding_Sessions,Breadth_Matched_Date,Member_Count,Covered_Member_Count,SMA50_Denominator,Above_SMA50_Count,Pct_Above_SMA50,SMA200_Denominator,Above_SMA200_Count,Pct_Above_SMA200,Coverage_200_Sessions,Coverage_OK,Nifty500_Close,Nifty500_SMA200,Regime,Universe_Method,Universe_Member_Count,Eligible_Count_50,Eligible_Count_200,Momentum_Regime,M1_Regime,DATA_SAFE,INDEX_TREND_OK,BREADTH_OK,SMA50_Breadth_Coverage,Nifty500_SMA50,Base_Net_R,Stress_Net_R,Severe_Net_R,Initial_Risk_Recomputed,Gross_R_Recomputed
360ONE-2024-01-08,360ONE,2023-12-29,2024-01-08,5,688.0885620117188,25.8392851935368,24.62282448603426,624.3057765056211,2.4684423360926284,651.8351440429688,644.5650827987873,647.7614471435547,582.1755621337891,482.63027099609377,351614143.94140625,56.93877551020409,86.3265306122449,73.26530612244898,73.59183673469389,0.9780439121756488,1.5572950739807636,True,0.9780439121756488,90.89795918367346,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2024-01-09,654.1130915807823,618.1500703841125,35.96302119666984,2024-01-15,649.16943359375,SMA20,-0.0075578031546274,2024-01-12,-0.137465035542957,4,2024-01-08,501,491,491,413,84.11405295315683,489,439,89.77505112474438,0.9760479041916168,True,19417.69921875,16709.01821777344,STRONG_MOMENTUM,POINT_IN_TIME,501,491,489,STRONG_MOMENTUM,MOMENTUM_ENABLED,True,True,True,0.9800399201596807,18149.1819140625,-0.2102190000114765,-0.24659598224573626,-0.2829729644799959,35.96302119666984,-0.13746503554295708
360ONE-2024-05-03,360ONE,2024-04-25,2024-05-03,5,818.88427734375,41.69373844425685,37.32331024088816,750.3281330289548,1.6442791381361146,776.6597290039062,776.4636234247895,746.525732421875,709.4836877441406,588.1720486450196,585211073.9543457,86.0655737704918,84.8360655737705,73.15573770491804,81.70081967213115,0.9740518962075848,0.925500537137116,True,0.9740518962075848,87.31557377049181,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2024-05-06,784.5052817843949,740.9973054687327,43.50797631566218,2024-05-07,740.9973054687327,STOP_INTRADAY,-0.0554591247833299,,-1.0,1,2024-05-03,501,493,492,350,71.13821138211382,479,374,78.07933194154488,0.9560878243512974,True,20959.55078125,18499.69776367188,STRONG_MOMENTUM,POINT_IN_TIME,501,492,479,STRONG_MOMENTUM,MOMENTUM_ENABLED,True,True,True,0.9820359281437125,20372.7720703125,-1.072125191582582,-1.1081877873738732,-1.1442503831651643,43.50797631566218,-1.0
360ONE-2024-07-15,360ONE,2024-07-10,2024-07-15,3,988.7345581054688,42.12604970418057,45.43639166912799,908.415810264412,1.906628995718196,968.336181640625,950.9289286140012,905.7017669677734,820.8654553222656,669.0376193237305,611207260.9077454,96.55172413793105,87.0182555780933,85.39553752535497,89.39148073022312,0.9801192842942346,0.7306655549155207,True,0.9820717131474104,91.4604462474645,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2024-07-16,952.3017815287484,897.0567123471301,55.24506918161831,2024-08-07,982.9193692188592,SMA20,0.0321511397794087,2024-08-06,0.5542139442246943,15,2024-07-15,503,493,493,411,83.36713995943205,484,422,87.19008264462809,0.9622266401590456,True,23209.849609375,19688.873515625,STRONG_MOMENTUM,POINT_IN_TIME,503,493,484,STRONG_MOMENTUM,MOMENTUM_ENABLED,True,True,True,0.9801192842942346,21791.5201171875,0.4852628652860071,0.4507873258166636,0.41631178634731997,55.245069181618305,0.5542139442246943
360ONE-2024-12-09,360ONE,2024-12-03,2024-12-09,4,1137.22705078125,41.900361989183374,39.94023801168582,1083.7920872310838,1.2752864417725205,1119.4317626953125,1109.4526738355585,1074.400421142578,1044.8971057128906,904.1659201049804,389781588.0377197,82.99595141700405,71.05263157894737,90.08097165991904,80.34412955465586,0.988,1.7320166473077183,True,0.988,81.88259109311741,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2024-12-10,1120.8082309451293,1073.8070277281622,47.00120321696704,2025-01-08,1174.8823236349454,SMA20,0.0482456241815941,2025-01-07,1.150483157637458,20,2024-12-09,500,496,496,295,59.4758064516129,488,300,61.47540983606557,0.976,True,23292.0,22143.2292578125,NORMAL,POINT_IN_TIME,500,496,488,NORMAL,MOMENTUM_ENABLED,True,True,True,0.992,23008.859921875,1.0550976649919823,1.0074049186692446,0.9597121723465069,47.00120321696704,1.1504831576374581
3MINDIA-2024-07-22,3MINDIA,2024-07-09,2024-07-22,8,38783.078125,1167.9789114855223,1170.063717224618,35874.19335550703,2.4905285026021886,37210.45703125,37194.851916969375,37045.3484375,33668.2580078125,30827.7128125,241169925.75,71.6024340770791,87.2210953346856,47.05882352941176,70.4868154158215,0.9801192842942346,0.448307550926635,True,0.9820717131474104,71.41987829614604,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2024-07-23,37309.49521963069,35581.67742620088,1727.8177934298146,2024-07-26,36766.814508333846,SMA20,-0.0145453780090626,2024-07-25,-0.314084455757105,3,2024-07-22,503,493,493,364,73.83367139959432,484,409,84.50413223140497,0.9622266401590456,True,22942.650390625,19798.26501953125,STRONG_MOMENTUM,POINT_IN_TIME,503,493,484,STRONG_MOMENTUM,MOMENTUM_ENABLED,True,True,True,0.9801192842942346,21972.422109375,-0.40045813557798304,-0.4436449754884221,-0.48683181539886106,1727.8177934298146,-0.314084455757105
AAVAS-2024-06-18,AAVAS,2024-06-12,2024-06-18,3,1907.449951171875,72.66147453457624,72.80671924352109,1822.1500244140625,1.1739360824176803,1900.449951171875,1868.0,1674.257501220703,1614.052001953125,1547.2722479248048,431809371.7429199,87.37270875763747,85.74338085539715,57.43380855397149,77.73930753564154,0.9780876494023903,1.5046402539692048,True,0.9800399201596808,79.85743380855398,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2024-06-19,1914.949951171875,1803.9483446031825,111.00160656869252,2024-07-04,1803.9483446031825,STOP_INTRADAY,-0.0579658003598286,,-1.0,11,2024-06-18,502,493,493,422,85.59837728194725,483,411,85.09316770186336,0.9621513944223108,True,22329.599609375,19157.73802734375,STRONG_MOMENTUM,POINT_IN_TIME,502,493,483,STRONG_MOMENTUM,MOMENTUM_ENABLED,True,True,True,0.9820717131474104,21034.7400390625,-1.0690062066799662,-1.1035093100199493,-1.1380124133599325,111.00160656869252,-1.0
ABB-2024-05-30,ABB,2024-05-21,2024-05-30,7,8337.0703125,245.61317568810972,214.3157367244156,7907.846507861668,1.7475601764270934,8059.48681640625,8043.688909563592,7619.311206054687,6718.563203125,4990.28701171875,2655673198.383789,97.75510204081633,97.75510204081633,95.10204081632652,96.95918367346938,0.9780439121756488,0.8965512410460735,True,0.9780439121756488,97.3877551020408,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2024-05-31,8121.264193671889,7854.267573680564,266.99661999132513,2024-06-04,7854.267573680564,STOP_INTRADAY,-0.032876238677147,,-1.0,2,2024-05-30,501,493,492,270,54.87804878048781,480,342,71.25,0.9580838323353292,True,21038.55078125,18873.31702148437,NORMAL,POINT_IN_TIME,501,492,480,NORMAL,MOMENTUM_ENABLED,True,True,True,0.9820359281437125,20644.3850390625,-1.1216684195318392,-1.1825026292977587,-1.243336839063678,266.99661999132513,-1.0
ABB-2024-06-27,ABB,2024-06-14,2024-06-27,8,8796.0859375,338.2998705036578,315.76632492195614,8031.254794193189,2.260808265070091,8428.4921875,8225.607122947127,8142.919750976563,7521.176591796875,5361.09818359375,3558515691.306885,45.21384928716905,90.4276985743381,94.29735234215886,78.0244399185336,0.9780876494023903,1.5010302560266535,True,0.9780876494023903,87.92260692464359,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2024-06-28,8503.532499520972,7952.3132129627,551.219286558272,2024-07-11,8371.931752260238,SMA20,-0.0154760092077201,2024-07-10,-0.2387448162099499,9,2024-06-27,502,493,493,384,77.89046653144015,484,406,83.88429752066115,0.9641434262948207,True,22537.400390625,19349.281025390625,STRONG_MOMENTUM,POINT_IN_TIME,502,493,484,STRONG_MOMENTUM,MOMENTUM_ENABLED,True,True,True,0.9820717131474104,21257.6241015625,-0.30045189146572127,-0.33130542909360694,-0.3621589667214926,551.219286558272,-0.23874481620994992
ABCAPITAL-2024-06-28,ABCAPITAL,2024-06-20,2024-06-28,6,243.0200042724609,9.33924617886918,8.269310852334094,232.759994506836,1.0985907822880956,238.7100067138672,238.3999938964844,233.1405029296875,226.1342013549805,189.73505043029783,1724764378.3321917,47.96747967479675,83.73983739837398,81.30081300813008,72.27642276422763,0.9800796812749004,1.0598670666415249,True,0.9780876494023903,75.21384928716904,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2024-07-01,239.3999938964844,230.6926667937524,8.707327102731995,2024-07-08,236.00999450683597,SMA20,-0.0141603988140212,2024-07-05,-0.3893272125477893,5,2024-06-28,502,493,493,390,79.10750507099391,484,409,84.50413223140497,0.9641434262948207,True,22559.69921875,19377.443017578124,STRONG_MOMENTUM,POINT_IN_TIME,502,493,484,STRONG_MOMENTUM,MOMENTUM_ENABLED,True,True,True,0.9820717131474104,21299.2430859375,-0.49930355365543583,-0.5542917242092607,-0.6092798947630855,8.707327102731995,-0.3893272125477861
ABCAPITAL-2025-10-15,ABCAPITAL,2025-10-06,2025-10-15,7,304.04998779296875,8.254336695242637,7.877462457530682,289.8999938964844,1.7142496628032733,303.5,302.3999938964844,294.0800018310547,286.50800170898435,225.56830039978027,1433627900.069809,81.54158215010142,88.64097363083164,95.53752535496956,88.58012170385396,0.9801192842942346,0.7206629510517663,True,0.9840319361277444,89.20892494929006,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2025-10-16,303.5,287.9306282821017,15.56937171789832,2025-11-24,325.6499938964844,SMA20,0.0729818579785317,2025-11-21,1.4226645941673464,25,2025-10-15,503,498,498,258,51.80722891566265,481,294,61.12266112266113,0.956262425447316,True,23377.349609375,22268.92327148437,NORMAL,POINT_IN_TIME,503,498,481,NORMAL,MOMENTUM_ENABLED,True,True,True,0.9900596421471173,22985.8830859375,1.3446909917640841,1.305704190562453,1.266717389360822,15.56937171789832,1.4226645941673464
