Entry_ID,Symbol,Leader_Date,Signal_Date,Pullback_Age,Leader_Close,ATR14_Seed,ATR14_Signal,Pullback_Low,Pullback_Depth_ATR,Close,Prior_High,SMA20,SMA50,SMA200,Median_Traded_Value_20,RS21,RS63,RS126,Composite_RS,RS_Coverage,Resumption_Volume_Ratio,Seed_Membership_OK,Seed_RS_Coverage,Seed_Composite_RS,Seed_RS_Coverage_OK,Seed_Liquidity_OK,Seed_Trend_OK,Seed_RS_OK,Signal_Membership_OK,Signal_RS_Coverage_OK,Signal_Liquidity_OK,Signal_Trend_OK,Signal_RS_OK,Age_OK,Depth_OK,Resumption_OK,Not_New_Leader_OK,Signal_Qualified,Signal_Rejection_Reason,Entry_Date,Entry_Open,Structural_Stop,Initial_Risk,M1_Regime,DATA_SAFE,INDEX_TREND_OK,BREADTH_OK,SMA50_Breadth_Coverage,Pct_Above_SMA50,Nifty500_Close,Nifty500_SMA50,Nifty500_SMA200
COALINDIA-2023-10-27,COALINDIA,2023-10-17,2023-10-27,7,260.3087463378906,5.833483710202866,6.134998954143521,248.4169311954485,2.0385443301475443,257.4793701171875,253.5427346000605,248.48254928588867,225.455583190918,192.7656662750244,2164980050.032616,93.66053169734153,95.91002044989774,75.05112474437627,88.97750511247443,0.9760479041916168,1.189169874269589,True,0.9780439121756488,85.6734693877551,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2023-10-30,258.34050342023914,246.88318145691264,11.457321963326509,MOMENTUM_DISABLED,True,True,False,0.9780439121756487,32.44897959183673,16765.44921875,17186.6679296875,15944.765244140624
COLPAL-2023-10-27,COLPAL,2023-10-20,2023-10-27,4,1977.8961181640625,41.53707446466003,45.0974058085788,1878.8022555401908,2.385672652708878,1949.5501708984373,1934.5572441895245,1912.1614868164063,1880.568549804688,1596.5494842529297,797580330.3692627,72.39263803680981,70.75664621676891,69.32515337423312,70.81799591002044,0.9760479041916168,2.3803684631346496,True,0.9780439121756488,74.18367346938776,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2023-10-30,1916.3313784270088,1867.5279040880464,48.80347433896304,MOMENTUM_DISABLED,True,True,False,0.9780439121756487,32.44897959183673,16765.44921875,17186.6679296875,15944.765244140624
SUZLON-2023-10-27,SUZLON,2023-10-20,2023-10-27,4,32.5,1.3611037325635962,1.5553776683692015,30.299999237060547,1.616335853253316,32.099998474121094,31.950000762939453,29.027499866485595,25.69399990081787,15.019999980926514,3211847199.547768,98.5685071574642,99.38650306748468,100.0,99.32515337423314,0.9760479041916168,0.7627384956955184,True,0.9780439121756488,98.9387755102041,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2023-10-30,32.70000076293945,29.91115481996825,2.788845942971207,MOMENTUM_DISABLED,True,True,False,0.9780439121756487,32.44897959183673,16765.44921875,17186.6679296875,15944.765244140624
TVSMOTOR-2023-10-27,TVSMOTOR,2023-10-17,2023-10-27,7,1590.8814697265625,28.93280786733138,28.75524580401994,1530.6820634589135,2.0806624280535577,1573.5333251953125,1564.9333846529848,1542.390850830078,1469.72173828125,1246.5892901611328,1240350722.8449707,85.48057259713701,80.57259713701431,78.32310838445807,81.37014314928425,0.9760479041916168,0.9168226373012968,True,0.9780439121756488,75.24489795918367,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2023-10-30,1566.2184177436468,1523.4932520079087,42.72516573573808,MOMENTUM_DISABLED,True,True,False,0.9780439121756487,32.44897959183673,16765.44921875,17186.6679296875,15944.765244140624
VIJAYA-2023-10-27,VIJAYA,2023-10-18,2023-10-27,6,585.4623413085938,21.324424134174546,21.54695994065396,535.0206612370415,2.365441606027445,562.384765625,553.2633878011078,535.0505630493165,502.88571899414063,433.13837814331055,100271264.7750244,98.3640081799591,89.16155419222905,89.77505112474438,92.10633946830266,0.9760479041916168,0.3668785948945852,True,0.9780439121756488,87.61224489795919,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2023-10-30,562.0358710953515,529.6339212518781,32.4019498434734,MOMENTUM_DISABLED,True,True,False,0.9780439121756487,32.44897959183673,16765.44921875,17186.6679296875,15944.765244140624
PRESTIGE-2023-10-31,PRESTIGE,2023-10-26,2023-10-31,3,781.7135620117188,38.24620440525843,38.76321908230992,731.2836012229453,1.3185611898743046,763.1262817382812,761.3322805149049,714.8490814208984,648.88955078125,523.0494508361817,788338959.125946,98.77300613496932,92.84253578732108,88.34355828220859,93.2719836400818,0.9760479041916168,0.973218616154482,True,0.9760479041916168,96.85071574642126,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2023-11-01,753.4588198062405,721.5927964523678,31.86602335387272,MOMENTUM_DISABLED,True,True,False,0.9800399201596807,32.382892057026474,16801.099609375,17186.1058984375,15959.610239257812
KALYANKJIL-2023-11-01,KALYANKJIL,2023-10-19,2023-11-01,8,302.7335510253906,14.464344351069949,14.084384553843536,276.6684474265224,1.8020245485195572,295.8193664550781,291.2927682237545,276.9818176269531,247.1810140991211,156.68371765136715,1323661839.9632874,98.97750511247445,98.97750511247445,99.59100204498978,99.16155419222903,0.9760479041916168,0.9520901726076896,True,0.9780439121756488,99.06122448979592,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2023-11-02,301.19153045836555,273.1473512880615,28.044179170304066,MOMENTUM_DISABLED,True,True,False,0.9800399201596807,32.79022403258656,16732.94921875,17185.6108984375,15966.024487304689
SUNTV-2023-11-01,SUNTV,2023-10-18,2023-11-01,9,617.4067993164062,18.233767507217017,16.917371542463435,572.9998146073225,2.435425629481524,599.1681518554688,598.6551837601536,591.8658142089844,571.9083166503906,459.197580871582,673061142.3934937,87.93456032719837,87.11656441717791,85.07157464212679,86.74846625766871,0.9760479041916168,0.6700024073108584,True,0.9780439121756488,87.38775510204081,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2023-11-02,602.1535272858487,568.7704717217066,33.38305556414207,MOMENTUM_DISABLED,True,True,False,0.9800399201596807,32.79022403258656,16732.94921875,17185.6108984375,15966.024487304689
BSE-2023-11-06,BSE,2023-10-30,2023-11-06,5,625.4730834960938,30.95843482318049,30.928696713058148,576.9566976562127,1.567145952855274,614.1185913085938,600.9841560214185,543.4937057495117,454.5238879394531,254.18878364562988,2999262706.394348,99.79550102249488,99.79550102249488,99.79550102249488,99.79550102249488,0.9760479041916168,0.6777214034731944,True,0.9760479041916168,99.93865030674846,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2023-11-07,615.6511931266732,569.2245234779481,46.42666964872512,MOMENTUM_DISABLED,True,True,False,0.9800399201596807,45.824847250509166,17159.400390625,17192.482890625,15991.749243164062
MOTILALOFS-2023-11-07,MOTILALOFS,2023-10-31,2023-11-07,5,1013.6075439453124,42.39345050478584,46.6465573469897,941.3011469549158,1.7056030148391428,1007.797607421875,998.326096729662,960.461636352539,903.8737194824218,727.4594927978516,260378133.8309021,91.6155419222904,87.52556237218813,93.86503067484662,90.65439672801637,0.9760479041916168,1.2765260373727818,True,0.9760479041916168,93.29243353783232,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2023-11-08,1008.6765178343912,929.6395076181684,79.03701021622282,MOMENTUM_DISABLED,True,True,False,0.9800399201596807,47.45417515274949,17187.80078125,17197.6358984375,16000.957749023435
