Period,Completed_Trades,Mean_Base_Net_R,Base_R_PF,Winners,Win_Rate
FIRST_HALF,681,0.05328076942961312,1.095070474255363,186,0.27312775330396477
SECOND_HALF,144,-0.3345668241141826,0.4899178180306312,26,0.18055555555555555
