Entry_ID,Symbol,Leader_Date,Signal_Date,Pullback_Age,Leader_Close,ATR14_Seed,ATR14_Signal,Pullback_Low,Pullback_Depth_ATR,Close,Prior_High,SMA20,SMA50,SMA200,Median_Traded_Value_20,RS21,RS63,RS126,Composite_RS,RS_Coverage,Resumption_Volume_Ratio,Seed_Membership_OK,Seed_RS_Coverage,Seed_Composite_RS,Seed_RS_Coverage_OK,Seed_Liquidity_OK,Seed_Trend_OK,Seed_RS_OK,Signal_Membership_OK,Signal_RS_Coverage_OK,Signal_Liquidity_OK,Signal_Trend_OK,Signal_RS_OK,Age_OK,Depth_OK,Resumption_OK,Not_New_Leader_OK,Signal_Qualified,Signal_Rejection_Reason,Regime_Context_Date,Active_PIT_Member_Count,SMA50_Denominator,SMA50_Breadth_Coverage,Pct_Above_SMA50,Nifty500_Close,Nifty500_SMA50,Nifty500_SMA200,DATA_SAFE,INDEX_TREND_OK,BREADTH_OK,PIT_Denominator_Match,M1_Regime,Exact_Date_Match,V3_Entry_Status,V3_Cancellation_Reason
360ONE-2024-01-08,360ONE,2023-12-29 00:00:00,2024-01-08,5,688.0885620117188,25.8392851935368,24.62282448603426,624.3057765056211,2.4684423360926284,651.8351440429688,644.5650827987873,647.7614471435547,582.1755621337891,482.63027099609377,351614143.94140625,56.93877551020409,86.3265306122449,73.26530612244898,73.59183673469389,0.9780439121756488,1.5572950739807636,True,0.9780439121756488,90.89795918367346,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2024-01-08,501,491,0.9800399201596807,84.11405295315683,19417.69921875,18149.1819140625,16709.01821777344,True,True,True,True,MOMENTUM_ENABLED,True,ACCEPTED,
360ONE-2024-05-03,360ONE,2024-04-25 00:00:00,2024-05-03,5,818.88427734375,41.69373844425685,37.32331024088816,750.3281330289548,1.6442791381361146,776.6597290039062,776.4636234247895,746.525732421875,709.4836877441406,588.1720486450196,585211073.9543457,86.0655737704918,84.8360655737705,73.15573770491804,81.70081967213115,0.9740518962075848,0.925500537137116,True,0.9740518962075848,87.31557377049181,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2024-05-03,501,492,0.9820359281437125,71.13821138211382,20959.55078125,20372.7720703125,18499.69776367188,True,True,True,True,MOMENTUM_ENABLED,True,ACCEPTED,
360ONE-2024-07-05,360ONE,2024-06-28 00:00:00,2024-07-05,5,961.2261962890624,41.92625542438967,41.71179879912154,902.4336283659978,1.4022852107336872,946.074462890625,930.3833981331462,850.2141632080078,799.2607507324219,655.6968759155274,423773117.5401001,87.0182555780933,88.84381338742394,71.19675456389453,83.00202839756592,0.9820717131474104,0.973074524492921,True,0.9800796812749004,89.08536585365854,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2024-07-05,502,493,0.9820717131474104,84.58417849898579,22987.650390625,21535.2041015625,19521.231015625,True,True,True,True,MOMENTUM_ENABLED,True,CANCELLED,OPEN_ABOVE_EXTENSION_LIMIT
360ONE-2024-07-15,360ONE,2024-07-10 00:00:00,2024-07-15,3,988.7345581054688,42.12604970418057,45.43639166912799,908.415810264412,1.906628995718196,968.336181640625,950.9289286140012,905.7017669677734,820.8654553222656,669.0376193237305,611207260.9077454,96.55172413793105,87.0182555780933,85.39553752535497,89.39148073022312,0.9801192842942346,0.7306655549155207,True,0.9820717131474104,91.4604462474645,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2024-07-15,503,493,0.9801192842942346,83.36713995943205,23209.849609375,21791.5201171875,19688.873515625,True,True,True,True,MOMENTUM_ENABLED,True,ACCEPTED,
360ONE-2024-10-21,360ONE,2024-10-16 00:00:00,2024-10-21,3,1103.307861328125,46.62884501409328,47.36865381405816,1029.963839074524,1.5729324247991392,1086.2498779296875,1070.6669023400968,1030.7356018066407,1050.581767578125,835.4095947265625,820008083.3927612,81.0204081632653,77.9591836734694,81.63265306122449,79.9795918367347,0.98,1.549649299026259,True,0.98,78.20408163265306,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2024-10-21,500,496,0.992,33.064516129032256,23263.25,23653.2079296875,21645.42802734375,True,True,False,True,MOMENTUM_DISABLED,True,ACCEPTED,
360ONE-2024-12-09,360ONE,2024-12-03 00:00:00,2024-12-09,4,1137.22705078125,41.900361989183374,39.94023801168582,1083.7920872310838,1.2752864417725205,1119.4317626953125,1109.4526738355585,1074.400421142578,1044.8971057128906,904.1659201049804,389781588.0377197,82.99595141700405,71.05263157894737,90.08097165991904,80.34412955465586,0.988,1.7320166473077183,True,0.988,81.88259109311741,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2024-12-09,500,496,0.992,59.4758064516129,23292.0,23008.859921875,22143.2292578125,True,True,True,True,MOMENTUM_ENABLED,True,ACCEPTED,
360ONE-2024-12-20,360ONE,2024-12-17 00:00:00,2024-12-20,3,1230.7752685546875,40.75961499032671,41.69776944445859,1175.865561367542,1.3471596137543709,1228.46484375,1219.026536996046,1148.8309326171875,1082.0086376953125,926.6585903930664,720697830.5355835,88.46153846153845,92.91497975708502,95.34412955465586,92.30769230769228,0.988,2.3661732037670773,True,0.988,91.21457489878544,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2024-12-20,500,496,0.992,33.66935483870967,22319.400390625,22861.961953125,22273.589501953124,True,True,False,True,MOMENTUM_DISABLED,True,ACCEPTED,
360ONE-2025-12-30,360ONE,2025-12-24 00:00:00,2025-12-30,3,1189.0972900390625,33.27313254579181,34.06288018380745,1157.5802910212308,0.9472206734504716,1184.72265625,1181.1434724551868,1142.5475341796875,1127.355810546875,1055.5083081054688,537886511.7652588,68.27309236947792,92.1686746987952,60.8433734939759,75.60240963855422,0.994011976047904,1.9876616641618865,True,0.994011976047904,83.15261044176707,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2025-12-30,501,498,0.9940119760479041,36.94779116465863,23668.80078125,23741.005078125,22882.63955078125,True,True,False,True,MOMENTUM_DISABLED,True,ACCEPTED,
3MINDIA-2024-07-22,3MINDIA,2024-07-09 00:00:00,2024-07-22,8,38783.078125,1167.9789114855223,1170.063717224618,35874.19335550703,2.4905285026021886,37210.45703125,37194.851916969375,37045.3484375,33668.2580078125,30827.7128125,241169925.75,71.6024340770791,87.2210953346856,47.05882352941176,70.4868154158215,0.9801192842942346,0.448307550926635,True,0.9820717131474104,71.41987829614604,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2024-07-22,503,493,0.9801192842942346,73.83367139959432,22942.650390625,21972.422109375,19798.26501953125,True,True,True,True,MOMENTUM_ENABLED,True,ACCEPTED,
3MINDIA-2025-11-26,3MINDIA,2025-11-17 00:00:00,2025-11-26,7,35614.22265625,914.312397752584,778.5145916075247,34367.281964503934,1.3638015789910485,35012.9296875,34934.07350701332,34139.825,31138.5406640625,29170.4711328125,230665806.28710935,98.582995951417,88.8663967611336,84.0080971659919,90.3238866396761,0.9840637450199204,0.6989091463879777,True,0.9840637450199204,90.06072874493928,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2025-11-26,502,498,0.9920318725099602,42.16867469879519,23955.19921875,23505.448125,22541.68002929688,True,True,False,True,MOMENTUM_DISABLED,True,ACCEPTED,
