Signal_Year,Completed_Trades,Mean_Base_Net_R,Base_R_PF,Winners,Win_Rate
2023,214,0.527830498884244,2.10530607042054,75,0.35046728971962615
2024,462,-0.1552019612955463,0.7387796572853158,111,0.24025974025974026
2025,118,-0.2721571978067965,0.5728373165074686,25,0.211864406779661
2026,31,-0.6784287094309547,0.1322955457374055,1,0.03225806451612903
