Entry_Year,Setup_Completed_Trades,Setup_Winners,Setup_Losers,Setup_Win_Rate,Setup_Mean_Return,Setup_Median_Return,Setup_Return_PF,Setup_Mean_R,Setup_Median_R,Setup_R_PF,Setup_Median_Holding_Sessions,Practical_Completed_Trades,Practical_Winners,Practical_Losers,Practical_Win_Rate,Practical_Mean_Return,Practical_Median_Return,Practical_Return_PF,Practical_Mean_R,Practical_Median_R,Practical_R_PF,Practical_Median_Holding_Sessions
2023,227,93,134,0.40969162995594716,0.03514106694813205,-0.010506099095587636,2.6250492607397917,,,,11.0,227,86,141,0.3788546255506608,0.032286362057259536,-0.014570062641370698,2.502622186685564,0.7808860434214703,-0.25866370995544585,2.932541657593211,9.0
2024,574,178,396,0.31010452961672474,0.0001580395320155608,-0.02000122701442248,1.0058519227370146,,,,8.0,574,161,413,0.2804878048780488,-0.0012278918656400378,-0.024431263605598767,0.9542949765926269,-0.04232813406167329,-0.45630454903961243,0.9182415936652203,6.0
2025,388,110,278,0.28350515463917525,-0.0030697327055883333,-0.016122581411543935,0.8718028129954507,,,,7.0,388,103,285,0.2654639175257732,-0.002171439029058351,-0.017277354110775682,0.899359346047639,-0.06094501957730803,-0.44869991854952623,0.8816339858283648,6.0
2026,279,60,218,0.21505376344086022,-0.014634071873309895,-0.023051380096095,0.4579213775279281,,,,6.0,279,48,230,0.17204301075268819,-0.018801785023242402,-0.027580827543542134,0.3298992531934359,-0.41943862832637235,-0.5957757755393067,0.29525424589599253,5.0
