Removed_Top_N,Removed_Entry_IDs,Removed_Symbols,Remaining_Entry_Count,Setup_Mean_Return,Setup_Return_PF,Practical_Mean_R,Practical_R_PF
1,IOC-2023-11-23,IOC,1464,0.0011441020505498908,1.0451176746379738,-0.00924857737295541,0.9820274442854848
3,IOC-2023-11-23;TATAINVEST-2024-01-18;IRFC-2023-08-24,IOC;TATAINVEST;IRFC,1462,0.00032621060091593535,1.0128465440449723,-0.02423038600857775,0.9529779527950711
5,IOC-2023-11-23;TATAINVEST-2024-01-18;IRFC-2023-08-24;NATIONALUM-2025-11-07;POWERINDIA-2024-03-20,IOC;TATAINVEST;IRFC;NATIONALUM;POWERINDIA,1460,-0.00037289611891170595,0.9853350162396457,-0.035577638505540646,0.9310516620710455
