Dimension,Bucket,Completed_Trades,Setup_Mean_Return,Setup_Return_PF,Practical_Mean_R,Practical_R_PF
Pullback_Age,3-4,636,0.0052830871029070576,1.2023332322840552,0.04406105848930812,1.0802615688717894
Pullback_Age,5-6,458,-0.0018289340989335945,0.9295947182170271,-0.07995090153640728,0.8495380384035928
Pullback_Age,7-8,235,-0.001721434466513445,0.9279619684034272,0.008252961278087096,1.0175228985011413
Pullback_Age,9-10,136,0.001574791066399361,1.0712784999858433,0.06395492287565943,1.1733523198016769
Pullback_Depth_ATR,"[0.5,1.0)",110,0.00023507905629326667,1.0079274249969032,-0.07357472719227076,0.8949809497645055
Pullback_Depth_ATR,"[1.0,1.5)",439,0.0038869552866588495,1.1451733675212394,0.04999988910265712,1.0841246148334152
Pullback_Depth_ATR,"[1.5,2.0)",555,-0.0005885494755548761,0.9770789647341914,-0.03500642879797596,0.9308813399412147
Pullback_Depth_ATR,"[2.0,2.5]",361,0.002566312901480379,1.1179046872835328,0.02109272123248076,1.0567016879261832
Composite_RS,"[70,80)",479,0.00599236296704863,1.2872962322760126,0.06941134034141969,1.138539520146643
Composite_RS,"[80,90)",559,-0.0044656448348779935,0.8290504693232424,-0.1044824155349666,0.8007113793123297
Composite_RS,"[90,100]",427,0.004585432475450727,1.1562512995133132,0.06370087580204187,1.1234658883778144
Resumption_Volume_Ratio,<0.8,401,0.005552383129404171,1.253990124915223,0.04048296361484655,1.0788290373419755
Resumption_Volume_Ratio,"[0.8,1.2)",505,-0.0007872228575991933,0.9675174980932557,-0.05536671177933681,0.8932809589403115
Resumption_Volume_Ratio,>=1.2,559,0.0008999427079310815,1.0312087731098185,0.02463176519852803,1.048239539795778
Resumption_Volume_Ratio,MISSING,0,,,,
Entry_Extension_ATR_vs_Leader,<=0,1246,0.0020226276090277344,1.0818742033914246,0.024440944267893512,1.0479920674354648
Entry_Extension_ATR_vs_Leader,"(0,0.25]",193,-0.00801319445871263,0.7334028040994586,-0.2050021798563847,0.6314608375914325
Entry_Extension_ATR_vs_Leader,"(0.25,0.5]",26,0.05224533058538214,3.506151422274162,0.42902461005586523,1.9735423258403906
