Entry_ID,Symbol,Leader_Date,Signal_Date,Pullback_Age,Leader_Close,ATR14_Seed,ATR14_Signal,Pullback_Low,Pullback_Depth_ATR,Close,Prior_High,SMA20,SMA50,SMA200,Median_Traded_Value_20,RS21,RS63,RS126,Composite_RS,RS_Coverage,Resumption_Volume_Ratio,Seed_Membership_OK,Seed_RS_Coverage_OK,Seed_Liquidity_OK,Seed_Trend_OK,Seed_RS_OK,Signal_Membership_OK,Signal_RS_Coverage_OK,Signal_Liquidity_OK,Signal_Trend_OK,Signal_RS_OK,Age_OK,Depth_OK,Resumption_OK,Not_New_Leader_OK,Signal_Qualified,Signal_Rejection_Reason,Entry_Date,Entry_Open,Structural_Stop,Initial_Risk
ASHOKLEY-2023-08-04,ASHOKLEY,2023-08-01,2023-08-04,3,85.12367248535156,1.8894568589703358,1.913308479180446,82.65130809214118,1.3085053418778267,84.33807373046875,84.3380641410364,81.74207382202148,75.73948272705078,68.49023370742798,1989504794.8848724,84.42622950819673,79.09836065573771,62.090163934426236,75.59426229508198,0.9721115537848606,0.7280070285968734,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2023-08-07,84.80019485069019,82.17298097234607,2.627213878344122
HEG-2023-08-04,HEG,2023-08-01,2023-08-04,3,346.2060852050781,12.66564640901037,12.78773571117537,326.07359163190193,1.5895354191203293,342.6352844238281,339.2463351131999,316.5937042236328,294.0266455078125,223.5293731689453,484753936.85783386,85.04098360655738,96.92622950819673,96.51639344262296,93.23770491803279,0.9721115537848606,1.375548489718766,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2023-08-07,343.487307097806,322.8766577041081,20.61064939369794
EXIDEIND-2023-08-07,EXIDEIND,2023-08-01,2023-08-07,4,259.5159912109375,6.377245660834643,6.722406642580393,248.32059704037692,1.7555218609996814,259.4173583984375,256.9020925572109,248.57131271362306,230.11449951171875,191.6187107849121,796753491.6109924,65.3688524590164,90.77868852459017,85.45081967213115,81.55737704918033,0.9721115537848606,0.6789987148418722,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2023-08-08,260.35440347722783,246.63999537973183,13.714408097496005
LODHA-2023-08-07,LODHA,2023-08-01,2023-08-07,4,753.306396484375,28.506823869997824,29.73548688566792,695.0856551581393,2.0423440223205818,719.5918579101562,714.641127650124,707.3387390136719,657.2608947753906,526.4224099731446,568925167.1279907,48.97540983606557,96.72131147540983,80.12295081967213,77.41803278688525,0.9721115537848606,1.1205114652403032,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2023-08-08,723.3049246077043,687.6517834367223,35.65314117098194
WESTLIFE-2023-08-07,WESTLIFE,2023-08-01,2023-08-07,4,937.0933837890625,30.392039707071696,29.605293878239365,906.6591030279346,1.0013898722975918,928.9874877929688,928.440517569992,900.9080169677734,860.1963793945313,757.7785052490234,102453322.38562012,68.44262295081968,69.67213114754098,72.95081967213115,70.28688524590164,0.9721115537848606,0.9006432420442833,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2023-08-08,949.6016938650376,899.2577795583748,50.343914306662896
BEML-2023-08-08,BEML,2023-08-02,2023-08-08,4,1009.9777221679688,35.55010670412473,40.3399105156584,938.0262121501348,2.0239463869031282,1006.8065795898438,991.6396752151409,884.563833618164,811.4615100097657,718.0523818969726,493426779.98986816,98.36065573770492,94.4672131147541,86.27049180327869,93.17622950819673,0.9721115537848606,3.149106671799917,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2023-08-09,1006.8804056846271,927.9412345212202,78.93917116340697
ESCORTS-2023-08-08,ESCORTS,2023-08-02,2023-08-08,4,2523.190185546875,65.83972793129469,63.89477494295604,2456.8171557410774,1.0081000011886354,2517.46044921875,2515.0815942171503,2371.83349609375,2225.5852709960936,2049.3611212158203,480209240.89941406,82.78688524590164,78.48360655737704,63.52459016393443,75.28688524590164,0.9721115537848606,0.8475247524752475,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2023-08-09,2531.5410044068326,2440.8434620053386,90.69754240149405
HINDCOPPER-2023-08-09,HINDCOPPER,2023-08-04,2023-08-09,3,151.6155242919922,5.228422426192372,5.26077707109881,143.69016707042516,1.5158219010506984,149.5480499267578,146.9390742287319,130.6773265838623,120.57963485717774,110.29857666015624,936847847.9250221,97.3360655737705,93.23770491803278,80.5327868852459,90.65573770491802,0.9721115537848606,1.2179435325276697,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2023-08-10,149.6464959027192,142.37497280265046,7.271523100068748
INDIANB-2023-08-11,INDIANB,2023-08-08,2023-08-11,3,366.5835876464844,11.145011180424177,12.680689840692326,346.2308112838351,1.8261781915838893,362.14892578125,360.28169276586726,322.91380462646487,291.3719036865234,265.6217170715332,467155872.8559418,92.21311475409836,91.39344262295081,80.5327868852459,88.3811475409836,0.9721115537848606,3.084384593804962,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2023-08-14,362.24231792224873,343.06063882366203,19.1816790985867
CYIENT-2023-08-14,CYIENT,2023-08-07,2023-08-14,5,1564.69775390625,50.18842023533701,49.975857275974306,1444.3912965734385,2.397095919112141,1480.9503173828125,1478.471742747387,1436.502752685547,1404.4381176757813,1027.1611016845702,379088259.2043457,75.61475409836066,81.14754098360656,96.51639344262296,84.09836065573771,0.9721115537848606,0.7702308174989949,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2023-08-16,1488.576697780798,1431.8973322544448,56.679365526353195
BSOFT-2023-08-16,BSOFT,2023-08-09,2023-08-16,4,433.1745910644531,11.548398013559279,10.931172524201893,418.39048855362034,1.2801864374153347,430.6947326660156,428.1670816628104,402.1852096557617,359.71663330078127,296.6332349395752,953957969.2924194,91.80327868852459,92.00819672131148,92.21311475409836,92.00819672131146,0.9721115537848606,0.970622032241396,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2023-08-17,431.88697020467885,415.6576954225699,16.229274782108973
NTPC-2023-08-16,NTPC,2023-08-01,2023-08-16,10,207.62307739257812,4.529055405449069,4.413255396375704,197.3410792757732,2.270230146540993,203.32830810546875,200.10235509738118,194.36035842895507,181.4680825805664,162.72763542175292,2593617851.460724,92.41803278688525,78.07377049180327,74.18032786885246,81.20901639344262,0.9721115537848606,0.7233204651683179,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2023-08-17,205.19843481970477,196.2377654266793,8.960669393025483
SUZLON-2023-08-16,SUZLON,2023-08-10,2023-08-16,3,20.450000762939453,0.8811994593463405,0.8866784870141295,19.299999237060547,1.3050411160396749,20.25,20.200000762939453,18.995000076293945,16.979000053405763,10.96175000190735,2787774273.555847,82.17213114754098,99.79508196721312,99.38524590163934,94.38524590163934,0.9721115537848606,0.45345783367827963,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2023-08-17,19.850000381469727,19.078329615307016,0.7716707661627105
ZYDUSLIFE-2023-08-16,ZYDUSLIFE,2023-08-09,2023-08-16,4,651.8445434570312,13.254701227312855,14.94389228988365,627.2604900567271,1.8547421762812597,647.7554321289062,647.4597368982422,626.2186492919922,579.4632037353516,482.15289916992185,755579479.9086914,79.91803278688525,80.94262295081968,82.58196721311475,81.12704918032787,0.9721115537848606,1.522789319728263,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2023-08-17,648.3465674455302,623.5245169842563,24.82205046127399
LINDEINDIA-2023-08-17,LINDEINDIA,2023-08-07,2023-08-17,7,5108.39599609375,130.79457993510022,124.88781780287529,4847.499733173361,1.9947024031870784,4975.8017578125,4954.956932152462,4841.9025390625,4528.686040039062,3810.8991455078126,172491300.6496582,86.0655737704918,78.68852459016394,86.68032786885246,83.29918032786885,0.9721115537848606,0.558063536590656,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2023-08-18,4974.856160877614,4816.277778722642,158.57838215497122
NAM-INDIA-2023-08-17,NAM-INDIA,2023-08-10,2023-08-17,4,297.6321105957031,7.408497500114762,7.427270960701079,287.15146448656327,1.4146790370081792,294.8960266113281,292.8555631941291,291.95819091796875,264.60405822753904,229.16437339782715,159906365.00202942,69.05737704918032,89.75409836065575,86.27049180327869,82.5,0.9721115537848606,0.9043945268524807,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2023-08-18,295.6379984875553,285.294646746388,10.343351741167282
PRAJIND-2023-08-17,PRAJIND,2023-08-10,2023-08-17,4,471.73486328125,14.45484746176386,15.494885471679499,443.3766334695309,1.9618491227065982,468.7829284667969,458.8139724218674,427.31739196777346,395.7903131103516,359.7251280212402,518527448.39230347,89.95901639344262,88.11475409836066,72.3360655737705,83.9344262295082,0.9721115537848606,1.947219911653677,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2023-08-18,470.4282731675914,439.502912101611,30.925361065980383
CERA-2023-08-18,CERA,2023-08-14,2023-08-18,3,8224.5,245.17511707530502,237.79484865034237,8016.075192032851,0.8501058771927967,8215.11328125,8195.94826524376,7775.8318359375,7566.575048828125,6253.066379394531,168295363.18701172,81.55737704918032,53.48360655737705,80.94262295081968,70.14344262295083,0.9721115537848606,0.5480366799905949,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2023-08-21,8267.207948789423,7956.626479870266,310.5814689191566
ERIS-2023-08-18,ERIS,2023-08-09,2023-08-18,6,829.019287109375,24.769930058066823,25.638484648053,782.3363204936243,1.884662835394139,821.1564331054688,805.1338459517458,788.2928283691406,723.7105139160157,654.7588543701172,124835825.74737549,85.65573770491804,86.27049180327869,68.44262295081968,80.73770491803279,0.9721115537848606,0.873099285146942,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2023-08-21,825.8543598394803,775.9266993316111,49.92766050786918
JBCHEPHARM-2023-08-18,JBCHEPHARM,2023-08-09,2023-08-18,6,1315.481201171875,47.382794775941825,48.19244631051571,1244.0970692235207,1.506541188334439,1299.1927490234375,1278.8393602835224,1246.3616943359375,1183.6551147460937,1026.8874179077147,140959521.04455566,71.51639344262296,86.68032786885246,78.48360655737704,79.67213114754098,0.9721115537848606,1.4681772566418423,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2023-08-21,1300.0692714101172,1232.0489576458917,68.02031376422542
DIXON-2023-08-21,DIXON,2023-08-09,2023-08-21,7,4894.38916015625,172.30023312777092,164.04806275459205,4578.488723282882,1.8334301186877013,4886.7998046875,4769.216741107453,4469.885266113281,4396.94859375,3670.45380859375,2675181354.5874023,88.31967213114754,95.90163934426229,97.3360655737705,94.05737704918032,0.9721115537848606,1.3403981950328958,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2023-08-22,4932.983876454579,4537.4767075942345,395.5071688603448
INDIACEM-2023-08-21,INDIACEM,2023-08-11,2023-08-21,5,252.6999969482422,9.014681136088761,9.559583435740032,233.14999389648438,2.1686849214768853,245.0,240.4499969482422,226.43249969482423,220.10200042724608,210.56100006103514,1123543817.6898956,90.3688524590164,77.25409836065575,61.47540983606557,76.45491803278689,0.9721115537848606,1.1895032746971643,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2023-08-22,246.6999969482422,230.76009803754937,15.939898910692818
