Entry_ID,Symbol,Leader_Date,Signal_Date,Pullback_Age,Leader_Close,ATR14_Seed,ATR14_Signal,Pullback_Low,Pullback_Depth_ATR,Close,Prior_High,SMA20,SMA50,SMA200,Median_Traded_Value_20,RS21,RS63,RS126,Composite_RS,RS_Coverage,Resumption_Volume_Ratio,Seed_Membership_OK,Seed_RS_Coverage_OK,Seed_Liquidity_OK,Seed_Trend_OK,Seed_RS_OK,Signal_Membership_OK,Signal_RS_Coverage_OK,Signal_Liquidity_OK,Signal_Trend_OK,Signal_RS_OK,Age_OK,Depth_OK,Resumption_OK,Not_New_Leader_OK,Signal_Qualified,Signal_Rejection_Reason,Entry_Date,Entry_Open,Structural_Stop,Initial_Risk,Exit_Date,Exit_Price,Exit_Reason,Return,Exit_Signal_Date,R_Multiple,Holding_Sessions,Breadth_Matched_Date,Member_Count,Covered_Member_Count,SMA50_Denominator,Above_SMA50_Count,Pct_Above_SMA50,SMA200_Denominator,Above_SMA200_Count,Pct_Above_SMA200,Coverage_200_Sessions,Coverage_OK,Nifty500_Close,Nifty500_SMA200,Regime,Universe_Method,Universe_Member_Count,Eligible_Count_50,Eligible_Count_200,Momentum_Regime
360ONE-2024-01-08,360ONE,2023-12-29,2024-01-08,5,688.0885009765625,25.83929371323549,24.62283264006401,624.3057171657601,2.4684414565918,651.8350830078125,644.5650215332923,647.7614288330078,582.1755596923828,482.6302734375,351614167.3285217,56.93877551020409,86.3265306122449,73.26530612244898,73.59183673469389,0.9780439121756488,1.5572950739807636,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2024-01-09,654.1130915807823,618.1500090057441,35.96308257503824,2024-01-15,649.1693725585938,SMA20,-0.007557896464419019,2024-01-12,-0.13746649809212946,4,2024-01-08,501,491,491,413,84.11405295315683,489,439,89.77505112474438,0.9760479041916168,True,19417.69921875,16709.01821777344,STRONG_MOMENTUM,POINT_IN_TIME,501,491,489,STRONG_MOMENTUM
360ONE-2024-05-03,360ONE,2024-04-25,2024-05-03,5,818.8842163085938,41.69373219237298,37.32330580320493,750.3281330289548,1.6442779207993266,776.6597290039062,776.4636234247895,746.5257385253906,709.4836962890626,588.1720515441895,585211097.9763794,86.0655737704918,84.8360655737705,73.15573770491804,81.70081967213115,0.9740518962075848,0.925500537137116,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2024-05-06,784.5052817843949,740.9973065781535,43.50797520624144,2024-05-07,740.9973065781535,STOP_INTRADAY,-0.05545912336916389,,-1.0,1,2024-05-03,501,493,492,350,71.13821138211382,479,374,78.07933194154488,0.9560878243512974,True,20959.55078125,18499.69776367188,STRONG_MOMENTUM,POINT_IN_TIME,501,492,479,STRONG_MOMENTUM
360ONE-2024-07-15,360ONE,2024-07-10,2024-07-15,3,988.7345581054688,42.12605527467707,45.43639595390116,908.415810264412,1.9066287435970308,968.336181640625,950.9288654217088,905.7017578125,820.8654528808594,669.0376194763184,611207260.9077454,96.55172413793105,87.0182555780933,85.39553752535497,89.39148073022312,0.9801192842942346,0.7306655549155207,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2024-07-16,952.3017815287484,897.0567112759369,55.2450702528115,2024-08-07,982.9193692188592,SMA20,0.03215113977940877,2024-08-06,0.5542139334785733,15,2024-07-15,503,493,493,411,83.36713995943205,484,422,87.19008264462809,0.9622266401590456,True,23209.849609375,19688.873515625,STRONG_MOMENTUM,POINT_IN_TIME,503,493,484,STRONG_MOMENTUM
360ONE-2024-10-21,360ONE,2024-10-16,2024-10-21,3,1103.307861328125,46.628845137815176,47.36865391311685,1029.963839074524,1.5729324206256243,1086.2498779296875,1070.6669023400968,1030.7356018066407,1050.581767578125,835.4095944213867,820008083.3927612,81.0204081632653,77.9591836734694,81.63265306122449,79.9795918367347,0.98,1.549649299026259,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2024-10-22,1085.2668502869717,1018.1216755962448,67.14517469072689,2024-10-22,1018.1216755962448,STOP_INTRADAY,-0.061869737081688275,,-1.0,0,2024-10-21,500,496,496,164,33.064516129032256,487,330,67.76180698151951,0.974,True,23263.25,21645.42802734375,NORMAL,POINT_IN_TIME,500,496,487,NORMAL
360ONE-2024-12-09,360ONE,2024-12-03,2024-12-09,4,1137.22705078125,41.90036200073218,39.940238020271984,1083.7920872310838,1.275286441421019,1119.4317626953125,1109.4526738355585,1074.400421142578,1044.8971057128906,904.1659231567382,389781588.0377197,82.99595141700405,71.05263157894737,90.08097165991904,80.34412955465586,0.988,1.7320166473077183,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2024-12-10,1120.8082309451293,1073.8070277260158,47.00120321911345,2025-01-08,1174.8823236349454,SMA20,0.04824562418159416,2025-01-07,1.150483157584919,20,2024-12-09,500,496,496,295,59.4758064516129,488,300,61.47540983606557,0.976,True,23292.0,22143.2292578125,NORMAL,POINT_IN_TIME,500,496,488,NORMAL
360ONE-2024-12-20,360ONE,2024-12-17,2024-12-20,3,1230.7752685546875,40.75961499583086,41.69776944886552,1175.865561367542,1.3471596135724513,1228.46484375,1219.026536996046,1148.8309326171875,1082.0086376953125,926.6585931396484,720697830.5355835,88.46153846153845,92.91497975708502,95.34412955465586,92.30769230769228,0.988,2.3661732037670773,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2024-12-23,1217.2076613982158,1165.4411190053258,51.76654239288996,2025-01-08,1174.8823236349454,SMA20,-0.03477248714870149,2025-01-07,-0.817619562883608,11,2024-12-20,500,496,496,167,33.66935483870967,488,230,47.13114754098361,0.976,True,22319.400390625,22273.589501953124,NORMAL,POINT_IN_TIME,500,496,488,NORMAL
360ONE-2025-12-30,360ONE,2025-12-24,2025-12-30,3,1189.0972900390625,33.27313254579181,34.06288018380745,1157.5802910212308,0.9472206734504716,1184.72265625,1181.1434724551868,1142.5475341796875,1127.355810546875,1055.5083081054688,537886511.7652588,68.27309236947792,92.1686746987952,60.8433734939759,75.60240963855422,0.994011976047904,1.9876616641618865,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2025-12-31,1191.0857862969406,1149.064570975279,42.02121532166166,2026-01-09,1149.064570975279,STOP_INTRADAY,-0.03527975550132681,,-1.0,7,2025-12-30,501,498,498,184,36.94779116465863,493,228,46.24746450304259,0.9840319361277444,True,23668.80078125,22882.63955078125,NORMAL,POINT_IN_TIME,501,498,493,NORMAL
3MINDIA-2024-07-22,3MINDIA,2024-07-09,2024-07-22,8,38783.078125,1167.9789795732588,1170.0637693951624,35874.1971214798,2.4905251330661846,37210.4609375,37194.85591341118,37045.3490234375,33668.2584765625,30827.71294921875,241169913.1035156,71.6024340770791,87.2210953346856,47.05882352941176,70.4868154158215,0.9801192842942346,0.448307550926635,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2024-07-23,37309.49912681944,35581.68117913101,1727.8179476884325,2024-07-26,36766.814508333846,SMA20,-0.014545481209515756,2024-07-25,-0.3140866890586646,3,2024-07-22,503,493,493,364,73.83367139959432,484,409,84.50413223140497,0.9622266401590456,True,22942.650390625,19798.26501953125,STRONG_MOMENTUM,POINT_IN_TIME,503,493,484,STRONG_MOMENTUM
3MINDIA-2025-11-26,3MINDIA,2025-11-17,2025-11-26,7,35614.22265625,914.3123974980756,778.5145914560259,34367.281964503934,1.3638015793706768,35012.9296875,34934.07350701332,34139.825,31138.5406640625,29170.47107421875,230665806.28710935,98.582995951417,88.8663967611336,84.0080971659919,90.3238866396761,0.9840637450199204,0.6989091463879777,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2025-11-27,35303.71943635366,34172.65331663993,1131.0661197137306,2025-12-01,34672.856889204544,SMA20,-0.01786957740490916,2025-11-28,-0.5577592115558966,2,2025-11-26,502,499,498,210,42.16867469879519,492,273,55.487804878048784,0.9800796812749004,True,23955.19921875,22541.68002929688,NORMAL,POINT_IN_TIME,502,498,492,NORMAL
AADHARHFC-2025-07-28,AADHARHFC,2025-07-22,2025-07-28,4,519.5999755859375,15.650079100763527,17.23853149999077,494.9500122070313,1.5750695712268723,516.5499877929688,512.6500244140625,481.9999969482422,458.4229986572266,433.7299998474121,331022126.21569824,97.38430583501008,56.53923541247485,91.14688128772636,79.17505030181087,0.9920159680638724,9.712600738056231,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,2025-07-29,514.0,490.6403793320336,23.359620667966396,2025-08-07,494.0,SMA20,-0.038910505836575876,2025-08-06,-0.85617828663744,7,2025-07-28,501,497,497,185,37.223340040241446,479,268,55.94989561586638,0.9560878243512974,True,22846.94921875,22243.327490234376,NORMAL,POINT_IN_TIME,501,497,479,NORMAL
