Entry_ID,Symbol,Signal_Date,Next_Session_Date,Entry_Open,Structural_Stop,Cancellation_Reason
ASTRAL-2023-08-16,ASTRAL,2023-08-16,2023-08-17,2017.3442232790567,1872.5058957949054,STOP_TOO_WIDE
BHARATFORG-2023-09-14,BHARATFORG,2023-09-14,2023-09-15,1110.7051357445735,1039.5408522080675,OPEN_ABOVE_EXTENSION_LIMIT
JBCHEPHARM-2023-09-25,JBCHEPHARM,2023-09-25,2023-09-26,1390.759473006429,1322.3834484406168,OPEN_BELOW_SMA20_SIGNAL
CHOLAFIN-2023-09-28,CHOLAFIN,2023-09-28,2023-09-29,1239.8581902053002,1156.6296424585582,OPEN_ABOVE_EXTENSION_LIMIT
WELCORP-2023-10-06,WELCORP,2023-10-06,2023-10-09,373.353643177978,366.69658429990847,OPEN_BELOW_SMA20_SIGNAL
ADANIPOWER-2023-12-01,ADANIPOWER,2023-12-01,2023-12-04,98.80000305175781,82.4136148664692,OPEN_ABOVE_EXTENSION_LIMIT
MOTILALOFS-2023-12-29,MOTILALOFS,2023-12-29,2024-01-02,307.6072473800025,1150.5810768535703,OPEN_BELOW_SMA20_SIGNAL
SHYAMMETL-2024-01-10,SHYAMMETL,2024-01-10,2024-01-11,667.9570658114461,604.9398511687044,STOP_TOO_WIDE
SHYAMMETL-2024-01-19,SHYAMMETL,2024-01-19,2024-01-23,689.631300587611,621.6935366281942,OPEN_ABOVE_EXTENSION_LIMIT
UNIONBANK-2024-01-19,UNIONBANK,2024-01-19,2024-01-23,132.7189636278216,116.2785199814506,OPEN_ABOVE_EXTENSION_LIMIT
BAJAJ-AUTO-2024-01-24,BAJAJ-AUTO,2024-01-24,2024-01-25,7021.3970878578475,6578.677625523223,STOP_TOO_WIDE
POLICYBZR-2024-01-30,POLICYBZR,2024-01-30,2024-01-31,958.9000244140625,872.8068093507181,OPEN_ABOVE_EXTENSION_LIMIT
CANBK-2024-03-01,CANBK,2024-03-01,2024-03-04,107.14949884130367,98.17471184969806,STOP_TOO_WIDE
AMBUJACEM-2024-04-16,AMBUJACEM,2024-04-16,2024-04-18,630.4404816871577,582.3135503353967,STOP_TOO_WIDE
APARINDS-2024-04-22,APARINDS,2024-04-22,2024-04-23,7311.507839658974,6612.1386660607195,STOP_TOO_WIDE
CAMS-2024-05-15,CAMS,2024-05-15,2024-05-16,638.6517463488102,575.4125151630479,STOP_TOO_WIDE
TITAGARH-2024-05-15,TITAGARH,2024-05-15,2024-05-16,1143.1164538715907,1036.2399843787975,OPEN_ABOVE_EXTENSION_LIMIT
ADANIPORTS-2024-05-31,ADANIPORTS,2024-05-31,2024-06-03,1528.4731551656719,1344.6223817929178,OPEN_ABOVE_EXTENSION_LIMIT
ASHOKLEY-2024-05-31,ASHOKLEY,2024-05-31,2024-06-03,111.73329617457965,102.97865534324782,OPEN_ABOVE_EXTENSION_LIMIT
