Entry_ID,Symbol,Signal_Date,Entry_Date,Exit_Date,Entry_Open,Exit_Price,Gross_Return,Base_Net_Return,Stress_Net_Return,Severe_Net_Return,Benchmark_Return,Base_Excess_Return
ENTRY|LOWER|IRB|2023-08-02,IRB,2023-08-02,2023-08-03,2023-08-25,12.535894186310443,13.392839203537125,0.06835930524704725,0.06435930524704725,0.062359305247047254,0.06035930524704725,0.0031305325342774193,0.06122877271276983
ENTRY|LOWER|STLTECH|2023-08-02,STLTECH,2023-08-02,2023-08-03,2023-08-25,146.07138515968126,153.5,0.05085605803079085,0.04685605803079085,0.04485605803079085,0.04285605803079085,0.0031305325342774193,0.04372552549651343
ENTRY|LOWER|IGL|2023-08-03,IGL,2023-08-03,2023-08-04,2023-08-28,214.49822316434933,208.9565656322044,-0.025835447261019495,-0.029835447261019495,-0.031835447261019494,-0.033835447261019495,0.0011277704310139747,-0.03096321769203347
ENTRY|LOWER|KOTAKBANK|2023-08-03,KOTAKBANK,2023-08-03,2023-08-04,2023-08-28,364.3496961358228,354.35946072481187,-0.027419359799017773,-0.031419359799017776,-0.03341935979901777,-0.03541935979901777,0.0011277704310139747,-0.03254713023003175
ENTRY|LOWER|RAJESHEXPO|2023-08-07,RAJESHEXPO,2023-08-07,2023-08-08,2023-08-30,523.0,492.0,-0.05927342256214152,-0.06327342256214152,-0.06527342256214153,-0.06727342256214153,0.001077032911114273,-0.0643504554732558
ENTRY|LOWER|GODREJCP|2023-08-08,GODREJCP,2023-08-08,2023-08-09,2023-08-31,958.2256521735483,965.6349527918783,0.007732312948963038,0.003732312948963038,0.001732312948963038,-0.00026768705103696194,0.0020333768963767263,0.0016989360525863119
ENTRY|LOWER|AUBANK|2023-08-10,AUBANK,2023-08-10,2023-08-11,2023-09-04,701.789973962341,723.2585839043475,0.030591217798102255,0.026591217798102255,0.024591217798102256,0.022591217798102255,0.011069478329584825,0.01552173946851743
ENTRY|LOWER|BORORENEW|2023-08-10,BORORENEW,2023-08-10,2023-08-11,2023-09-04,472.70001220703125,447.1499938964844,-0.054051232601527,-0.058051232601527,-0.060051232601527,-0.062051232601527,0.011069478329584825,-0.06912071093111183
ENTRY|LOWER|HINDUNILVR|2023-08-10,HINDUNILVR,2023-08-10,2023-08-11,2023-09-04,2394.586347642464,2374.7498359805163,-0.00828389908824001,-0.01228389908824001,-0.01428389908824001,-0.01628389908824001,0.011069478329584825,-0.023353377417824835
ENTRY|LOWER|MGL|2023-08-11,MGL,2023-08-11,2023-08-14,2023-09-05,931.2142111507753,967.6379547268181,0.03911424797848717,0.03511424797848717,0.03311424797848717,0.03111424797848717,0.02379695554961292,0.011317292428874248
ENTRY|LOWER|BOSCHLTD|2023-08-14,BOSCHLTD,2023-08-14,2023-08-16,2023-09-06,17556.838153375797,18554.327553175503,0.05681486558602877,0.05281486558602877,0.050814865586028775,0.04881486558602877,0.029476246209036994,0.023338619376991776
ENTRY|LOWER|BRITANNIA|2023-08-14,BRITANNIA,2023-08-14,2023-08-16,2023-09-06,4301.963884520798,4332.058302437831,0.006995506871946944,0.0029955068719469437,0.0009955068719469436,-0.0010044931280530564,0.029476246209036994,-0.02648073933709005
ENTRY|LOWER|CHOLAFIN|2023-08-14,CHOLAFIN,2023-08-14,2023-08-16,2023-09-06,1028.285641425644,1092.2205854845208,0.0621762489751736,0.058176248975173595,0.0561762489751736,0.0541762489751736,0.029476246209036994,0.0287000027661366
ENTRY|LOWER|EASEMYTRIP|2023-08-14,EASEMYTRIP,2023-08-14,2023-08-16,2023-09-06,20.024305154311183,19.899622362359025,-0.006226572707084044,-0.010226572707084044,-0.012226572707084044,-0.014226572707084044,0.029476246209036994,-0.03970281891612104
ENTRY|LOWER|MAXHEALTH|2023-08-14,MAXHEALTH,2023-08-14,2023-08-16,2023-09-06,518.4144162664093,589.7126198049473,0.13753129022148647,0.13353129022148646,0.13153129022148646,0.12953129022148646,0.029476246209036994,0.10405504401244947
ENTRY|LOWER|UPL|2023-08-14,UPL,2023-08-14,2023-08-16,2023-09-06,578.3370350253186,596.6580935314852,0.031678860935067776,0.027678860935067776,0.025678860935067778,0.023678860935067776,0.029476246209036994,-0.0017973852739692174
ENTRY|LOWER|CHAMBLFERT|2023-08-16,CHAMBLFERT,2023-08-16,2023-08-17,2023-09-07,236.62193962056364,268.66053720695226,0.13539994489844975,0.13139994489844975,0.12939994489844975,0.12739994489844975,0.025713498254289924,0.10568644664415983
ENTRY|LOWER|DALBHARAT|2023-08-16,DALBHARAT,2023-08-16,2023-08-17,2023-09-07,1873.718455632624,2276.0747938808036,0.21473681760386554,0.21073681760386553,0.20873681760386553,0.20673681760386553,0.025713498254289924,0.1850233193495756
ENTRY|LOWER|M&MFIN|2023-08-16,M&MFIN,2023-08-16,2023-08-17,2023-09-07,258.9913597584624,275.5873506925679,0.064079322760354,0.06007932276035399,0.058079322760354,0.056079322760353996,0.025713498254289924,0.03436582450606407
ENTRY|LOWER|VEDL|2023-08-16,VEDL,2023-08-16,2023-08-17,2023-09-07,192.71384397054163,196.33385903198462,0.018784405867573906,0.014784405867573906,0.012784405867573905,0.010784405867573905,0.025713498254289924,-0.010929092386716018
ENTRY|LOWER|TRITURBINE|2023-08-18,TRITURBINE,2023-08-18,2023-08-21,2023-09-11,366.8336603778425,397.94112906530955,0.08479992990672147,0.08079992990672147,0.07879992990672147,0.07679992990672146,0.04686615429882446,0.03393377560789701
ENTRY|LOWER|BPCL|2023-08-21,BPCL,2023-08-21,2023-08-22,2023-09-12,149.92760998030204,155.42055614695775,0.03663732228758532,0.03263732228758531,0.030637322287585318,0.028637322287585316,0.051341422821201466,-0.018704100533616153
ENTRY|LOWER|ELGIEQUIP|2023-08-23,ELGIEQUIP,2023-08-23,2023-08-24,2023-09-14,468.32372433750476,510.03599944933916,0.08906718354027654,0.08506718354027654,0.08306718354027653,0.08106718354027653,0.03251316812653138,0.05255401541374516
ENTRY|LOWER|HDFCBANK|2023-08-23,HDFCBANK,2023-08-23,2023-08-24,2023-09-14,762.8197446808867,787.2129744267565,0.031977711531410824,0.027977711531410824,0.025977711531410826,0.023977711531410824,0.03251316812653138,-0.004535456595120554
ENTRY|LOWER|SBICARD|2023-08-28,SBICARD,2023-08-28,2023-08-29,2023-09-20,817.0089449202179,812.2076715186143,-0.005876647289427717,-0.009876647289427717,-0.011876647289427717,-0.013876647289427717,0.03421251651214963,-0.04408916380157735
ENTRY|LOWER|BLUEDART|2023-08-30,BLUEDART,2023-08-30,2023-08-31,2023-09-22,6227.8499014052195,6671.579929903749,0.07124931324989192,0.06724931324989192,0.06524931324989192,0.06324931324989191,0.018413290029479557,0.04883602322041236
ENTRY|LOWER|RAJESHEXPO|2023-08-30,RAJESHEXPO,2023-08-30,2023-08-31,2023-09-22,496.75,509.70001220703125,0.026069476008115267,0.022069476008115266,0.020069476008115268,0.018069476008115266,0.018413290029479557,0.00365618597863571
ENTRY|LOWER|CUMMINSIND|2023-08-31,CUMMINSIND,2023-08-31,2023-09-01,2023-09-25,1628.3193371993646,1660.7686543596571,0.01992810403891898,0.01592810403891898,0.013928104038918981,0.011928104038918981,0.01984335522175784,-0.00391525118283886
ENTRY|LOWER|APOLLOTYRE|2023-09-01,APOLLOTYRE,2023-09-01,2023-09-04,2023-09-26,373.70249518397037,365.8788028738091,-0.020935616997445394,-0.024935616997445394,-0.026935616997445393,-0.028935616997445394,0.007401838051781295,-0.03233745504922669
ENTRY|LOWER|HINDPETRO|2023-09-01,HINDPETRO,2023-09-01,2023-09-04,2023-09-26,145.2468155498179,150.15574645996094,0.03379716719819803,0.02979716719819803,0.027797167198198032,0.02579716719819803,0.007401838051781295,0.022395329146416735
ENTRY|LOWER|TORNTPHARM|2023-09-01,TORNTPHARM,2023-09-01,2023-09-04,2023-09-26,1753.575149143597,1792.4357846934379,0.022160804211224905,0.018160804211224905,0.016160804211224906,0.014160804211224905,0.007401838051781295,0.01075896615944361
ENTRY|LOWER|GODREJCP|2023-09-04,GODREJCP,2023-09-04,2023-09-05,2023-09-27,951.0538203503603,936.5675985131925,-0.01523175821094036,-0.01923175821094036,-0.02123175821094036,-0.02323175821094036,0.002449540508509429,-0.02168129871944979
ENTRY|LOWER|PIDILITIND|2023-09-04,PIDILITIND,2023-09-04,2023-09-05,2023-09-27,1220.9260857928123,1223.943122120518,0.002471104813643654,-0.0015288951863563459,-0.003528895186356346,-0.005528895186356346,0.002449540508509429,-0.003978435694865775
ENTRY|LOWER|BDL|2023-09-12,BDL,2023-09-12,2023-09-13,2023-10-06,532.249503324115,496.73308210302883,-0.06672889499994206,-0.07072889499994206,-0.07272889499994206,-0.07472889499994206,-0.011172316872440469,-0.05955657812750159
ENTRY|LOWER|HINDUNILVR|2023-09-12,HINDUNILVR,2023-09-12,2023-09-13,2023-10-06,2355.857499915505,2380.3700344827253,0.010404930929863054,0.006404930929863054,0.004404930929863054,0.002404930929863054,-0.011172316872440469,0.017577247802303523
ENTRY|LOWER|INDIGO|2023-09-20,INDIGO,2023-09-20,2023-09-21,2023-10-13,2399.9442285691844,2565.664337772651,0.0690516501303311,0.0650516501303311,0.0630516501303311,0.0610516501303311,-0.00494275005920819,0.06999440018953929
ENTRY|LOWER|TIMKEN|2023-09-20,TIMKEN,2023-09-20,2023-09-21,2023-10-13,3110.32124363463,3019.3936183207475,-0.029234158850944603,-0.033234158850944606,-0.0352341588509446,-0.0372341588509446,-0.00494275005920819,-0.028291408791736417
ENTRY|LOWER|RADICO|2023-09-22,RADICO,2023-09-22,2023-09-25,2023-10-17,1178.6043337886226,1252.205022170325,0.0624473254269422,0.0584473254269422,0.0564473254269422,0.0544473254269422,0.012369579031847877,0.04607774639509432
ENTRY|LOWER|ABB|2023-09-25,ABB,2023-09-25,2023-09-26,2023-10-18,4042.379493360118,4176.37781411356,0.033148377329130785,0.029148377329130785,0.027148377329130786,0.025148377329130785,0.011538927864356063,0.01760944946477472
ENTRY|LOWER|ABCAPITAL|2023-09-25,ABCAPITAL,2023-09-25,2023-09-26,2023-10-18,174.25,183.4499969482422,0.05279768693395814,0.04879768693395814,0.046797686933958145,0.04479768693395814,0.011538927864356063,0.037258759069602077
ENTRY|LOWER|ICICIGI|2023-09-26,ICICIGI,2023-09-26,2023-09-27,2023-10-19,1283.7897694663338,1342.3486338298028,0.0456140606166473,0.0416140606166473,0.0396140606166473,0.0376140606166473,-0.001111796567578316,0.04272585718422561
ENTRY|LOWER|MEDPLUS|2023-09-26,MEDPLUS,2023-09-26,2023-09-27,2023-10-19,761.0,761.0,0.0,-0.004,-0.006,-0.008,-0.001111796567578316,-0.002888203432421684
ENTRY|LOWER|HDFCBANK|2023-09-27,HDFCBANK,2023-09-27,2023-09-28,2023-10-20,734.4288841265327,720.5445716148215,-0.018904910756912807,-0.022904910756912807,-0.024904910756912806,-0.026904910756912807,-0.007233642007973828,-0.01567126874893898
ENTRY|LOWER|PIIND|2023-09-27,PIIND,2023-09-27,2023-09-28,2023-10-20,3416.4278784346984,3454.3220019824716,0.011091738182728683,0.007091738182728683,0.005091738182728683,0.003091738182728683,-0.007233642007973828,0.014325380190702511
ENTRY|LOWER|APOLLOTYRE|2023-09-28,APOLLOTYRE,2023-09-28,2023-09-29,2023-10-23,357.33068572788125,370.27358424411466,0.03622106646080159,0.032221066460801584,0.03022106646080159,0.028221066460801587,-0.00132350683736282,0.033544573298164404
