Entry_ID,Reference_ID,Symbol,Signal_Date,Primary_Complete,Completion_Reason,Forward_3_Return,Forward_5_Return,Forward_10_Return,Forward_15_Return,Forward_20_Return,MFE,MAE,Exit_Reason,Exit_Date,Same_Bar_Stop_Target_Ambiguity
ENTRY|LOWER|IRB|2023-08-02,,IRB,2023-08-02,True,COMPLETE,0.009765555740049114,0.021484386660232557,0.01562503560747497,0.06835930524704725,0.10937493743798954,0.10937488992019362,-0.009765624854480848,MIDPOINT_TARGET,2023-08-23,False
ENTRY|LOWER|STLTECH|2023-08-02,,STLTECH,2023-08-02,True,COMPLETE,0.0919318648593559,0.06489031292278624,0.04058710632364959,0.05085605803079085,0.1860639221748177,0.11564624557562331,-0.006462564273756577,MIDPOINT_TARGET,2023-08-07,False
ENTRY|LOWER|IGL|2023-08-03,,IGL,2023-08-03,True,COMPLETE,0.009234834703516048,-0.009894377944550614,-0.05013179101513199,-0.025835447261019495,0.02693500723333475,0.014841742018016024,-0.06112568290454301,STRUCTURAL_STOP,2023-08-10,False
ENTRY|LOWER|KOTAKBANK|2023-08-03,,KOTAKBANK,2023-08-03,True,COMPLETE,0.002733660133027449,-0.016949229746436756,-0.0426462380240239,-0.027419359799017773,-0.028212118796854924,0.008747934027677706,-0.045106677490641234,STRUCTURAL_STOP,2023-08-10,False
ENTRY|LOWER|RAJESHEXPO|2023-08-07,,RAJESHEXPO,2023-08-07,True,COMPLETE,-0.00019115790810231292,-0.0019120458891013214,-0.0019120458891013214,-0.05927342256214152,-0.013384321223709361,0.07074569789674956,-0.07074569789674956,STRUCTURAL_STOP,2023-08-29,False
ENTRY|LOWER|GODREJCP|2023-08-08,,GODREJCP,2023-08-08,True,COMPLETE,0.010309770805025709,0.032019931692655934,0.01873609211823335,0.007732312948963038,0.006195743138845522,0.038909550115220126,-0.00659234142657994,TIME_EXIT,2023-08-31,False
ENTRY|LOWER|AUBANK|2023-08-10,,AUBANK,2023-08-10,True,COMPLETE,-0.003477927645250345,0.009439960770778466,0.048974305829815545,0.030591217798102255,0.04620626663628613,0.0674994364117858,-0.011995184949300186,MIDPOINT_TARGET,2023-08-24,False
ENTRY|LOWER|BORORENEW|2023-08-10,,BORORENEW,2023-08-10,True,COMPLETE,-0.016712553860909307,-0.024857202658276623,-0.060926629081475836,-0.054051232601527,-0.04294482290314805,0.01078903205888615,-0.09710180501108046,STRUCTURAL_STOP,2023-08-14,False
ENTRY|LOWER|HINDUNILVR|2023-08-10,,HINDUNILVR,2023-08-10,True,COMPLETE,0.006942845346319171,0.007790944210761763,0.011834388296550591,-0.00828389908824001,-0.00836280721919569,0.02238662890680021,-0.01850092012357818,STRUCTURAL_STOP,2023-08-11,False
ENTRY|LOWER|MGL|2023-08-11,,MGL,2023-08-11,True,COMPLETE,-0.011849842478323325,0.005221925022097285,0.024301987091924993,0.03911424797848717,0.06416954420856147,0.042679274814082735,-0.025356482561710525,STRUCTURAL_STOP,2023-08-14,False
ENTRY|LOWER|BOSCHLTD|2023-08-14,,BOSCHLTD,2023-08-14,True,COMPLETE,0.010455156747587457,0.012796526009889897,0.02758144472755819,0.05681486558602877,0.05362944857244756,0.062054859171633225,-0.007719228391730004,MIDPOINT_TARGET,2023-09-01,False
ENTRY|LOWER|BRITANNIA|2023-08-14,,BRITANNIA,2023-08-14,True,COMPLETE,0.015004685192978373,0.014792887939766297,0.014336299133575148,0.006995506871946944,0.0174998294717692,0.019248677994379015,-0.014971303713954942,STRUCTURAL_STOP,2023-08-16,False
ENTRY|LOWER|CHOLAFIN|2023-08-14,,CHOLAFIN,2023-08-14,True,COMPLETE,-0.0034865889767591307,0.029441532061675657,0.06653422862528502,0.0621762489751736,0.1135052024699077,0.10164159828665764,-0.034187166768390065,STRUCTURAL_STOP,2023-08-16,False
ENTRY|LOWER|EASEMYTRIP|2023-08-14,,EASEMYTRIP,2023-08-14,True,COMPLETE,-0.06600248745536652,-0.061021104229911693,0.003735996994387092,-0.006226572707084044,-0.031133182082692668,0.05977586820250602,-0.07845574428618574,STRUCTURAL_STOP,2023-08-16,False
ENTRY|LOWER|MAXHEALTH|2023-08-14,,MAXHEALTH,2023-08-14,True,COMPLETE,0.01744309781163622,0.09833255257982976,0.0791644796196207,0.13753129022148647,0.1731169298242219,0.14816956870984677,-0.017347110563948775,MIDPOINT_TARGET,2023-08-22,False
ENTRY|LOWER|UPL|2023-08-14,,UPL,2023-08-14,True,COMPLETE,-0.014060557598228107,-0.008978437926074334,0.01643240464984741,0.031678860935067776,0.02490278852909822,0.037184574293797734,-0.022615431317758894,STRUCTURAL_STOP,2023-08-16,False
ENTRY|LOWER|CHAMBLFERT|2023-08-16,,CHAMBLFERT,2023-08-16,True,COMPLETE,0.03106576572056219,0.0736308241602408,0.1146123193398938,0.13539994489844975,0.13520172478062498,0.13995334429182082,-0.011741682974559575,MIDPOINT_TARGET,2023-08-23,False
ENTRY|LOWER|DALBHARAT|2023-08-16,,DALBHARAT,2023-08-16,True,COMPLETE,0.017842126606252284,0.048421006541490064,0.0973685089437295,0.21473681760386554,0.24207886716990146,0.22894742856101113,-0.014052663091849382,MIDPOINT_TARGET,2023-08-30,False
