Signal_ID,Symbol,Signal_Date,Cancellation_Reason
UPPER|JMFINANCIL|2023-08-21,JMFINANCIL,2023-08-21,SAME_SYMBOL_LOCKOUT
UPPER|LTTS|2023-08-21,LTTS,2023-08-21,SAME_SYMBOL_LOCKOUT
UPPER|OIL|2023-08-21,OIL,2023-08-21,SAME_SYMBOL_LOCKOUT
UPPER|UCOBANK|2023-08-21,UCOBANK,2023-08-21,SAME_SYMBOL_LOCKOUT
UPPER|NBCC|2023-08-22,NBCC,2023-08-22,SAME_SYMBOL_LOCKOUT
UPPER|SWANCORP|2023-08-22,SWANCORP,2023-08-22,SAME_SYMBOL_LOCKOUT
UPPER|BEL|2023-08-23,BEL,2023-08-23,SAME_SYMBOL_LOCKOUT
UPPER|EIHOTEL|2023-08-23,EIHOTEL,2023-08-23,SAME_SYMBOL_LOCKOUT
UPPER|KPITTECH|2023-08-23,KPITTECH,2023-08-23,SAME_SYMBOL_LOCKOUT
UPPER|LTTS|2023-08-23,LTTS,2023-08-23,SAME_SYMBOL_LOCKOUT
UPPER|NBCC|2023-08-23,NBCC,2023-08-23,SAME_SYMBOL_LOCKOUT
UPPER|SWANCORP|2023-08-23,SWANCORP,2023-08-23,SAME_SYMBOL_LOCKOUT
UPPER|BEL|2023-08-24,BEL,2023-08-24,SAME_SYMBOL_LOCKOUT
UPPER|CERA|2023-08-24,CERA,2023-08-24,SAME_SYMBOL_LOCKOUT
UPPER|GODFRYPHLP|2023-08-24,GODFRYPHLP,2023-08-24,SAME_SYMBOL_LOCKOUT
UPPER|LEMONTREE|2023-08-24,LEMONTREE,2023-08-24,SAME_SYMBOL_LOCKOUT
UPPER|LTTS|2023-08-24,LTTS,2023-08-24,SAME_SYMBOL_LOCKOUT
UPPER|MTARTECH|2023-08-24,MTARTECH,2023-08-24,SAME_SYMBOL_LOCKOUT
UPPER|PAYTM|2023-08-24,PAYTM,2023-08-24,SAME_SYMBOL_LOCKOUT
UPPER|BEL|2023-08-25,BEL,2023-08-25,SAME_SYMBOL_LOCKOUT
UPPER|EIHOTEL|2023-08-25,EIHOTEL,2023-08-25,SAME_SYMBOL_LOCKOUT
UPPER|JUBLINGREA|2023-08-25,JUBLINGREA,2023-08-25,SAME_SYMBOL_LOCKOUT
UPPER|PAYTM|2023-08-25,PAYTM,2023-08-25,SAME_SYMBOL_LOCKOUT
UPPER|SWANCORP|2023-08-25,SWANCORP,2023-08-25,SAME_SYMBOL_LOCKOUT
UPPER|FEDERALBNK|2023-08-29,FEDERALBNK,2023-08-29,SAME_SYMBOL_LOCKOUT
UPPER|IDEA|2023-08-29,IDEA,2023-08-29,SAME_SYMBOL_LOCKOUT
UPPER|IRCTC|2023-08-29,IRCTC,2023-08-29,SAME_SYMBOL_LOCKOUT
UPPER|NSLNISP|2023-08-29,NSLNISP,2023-08-29,SAME_SYMBOL_LOCKOUT
UPPER|AXISBANK|2023-08-30,AXISBANK,2023-08-30,SAME_SYMBOL_LOCKOUT
UPPER|BERGEPAINT|2023-08-30,BERGEPAINT,2023-08-30,SAME_SYMBOL_LOCKOUT
