Entry_Year,Setup_Completed_Trades,Setup_Winners,Setup_Losers,Setup_Win_Rate,Setup_Mean_Return,Setup_Median_Return,Setup_Return_PF,Setup_Mean_R,Setup_Median_R,Setup_R_PF,Setup_Median_Holding_Sessions,Practical_Completed_Trades,Practical_Winners,Practical_Losers,Practical_Win_Rate,Practical_Mean_Return,Practical_Median_Return,Practical_Return_PF,Practical_Mean_R,Practical_Median_R,Practical_R_PF,Practical_Median_Holding_Sessions
2023,15,2,13,0.13333333333333333,-0.00690393838903693,-0.041039580919285404,0.8282555220281562,,,,7.0,15,2,13,0.13333333333333333,0.0032096675551775825,-0.03195628456151686,1.1066856115183308,0.339054072911127,-0.6284656679015692,1.5995471634825056,7.0
2024,31,9,22,0.2903225806451613,-0.010527035597650176,-0.02255580500874311,0.6600101933302492,,,,12.0,31,9,22,0.2903225806451613,0.0011446781301781587,-0.01718895039650582,1.0555284374229037,-0.12454421062302827,-0.399328836989836,0.7056991875423083,11.0
2025,23,6,17,0.2608695652173913,-0.025894696914828746,-0.026378612415966084,0.22779214088294836,,,,10.0,23,6,17,0.2608695652173913,-0.01735198045433781,-0.02439022240493866,0.31442169482339505,-0.37282050414660733,-0.4738950265072685,0.29048236589352844,10.0
2026,15,4,11,0.26666666666666666,-0.023375922480007368,-0.04151624548736462,0.31558310193088646,,,,8.0,15,4,11,0.26666666666666666,-0.018078785231677375,-0.02528735632183908,0.37351239193880575,-0.28843675795854046,-0.5904380069450431,0.3898489667953202,8.0
