Symbol,Date,Base_ID,Seed_Date,Base_Age,Event,Original_Pivot,Active_Pivot,New_Pivot,Base_Low,Base_Depth_ATR,High,Low,Close
360ONE,2022-11-03 00:00:00,360ONE-2022-09-20,2022-09-20 00:00:00,30,EXPIRED,451.1394304209891,451.1394304209891,,395.75016188271326,3.7313522105610013,437.88940101382553,427.76174508128656,432.3396911621094
360ONE,2023-01-19 00:00:00,360ONE-2023-01-19,2023-01-19 00:00:00,0,SEEDED,456.6226873350838,456.6226873350838,,inf,-inf,456.6226873350838,437.90116858820676,454.304443359375
360ONE,2023-01-23 00:00:00,360ONE-2023-01-19,2023-01-19 00:00:00,2,TOO_SHORT_BREAKOUT,456.6226873350838,456.6226873350838,,440.4184254983929,1.233791158305844,458.96430089628194,447.4901933738749,456.64605712890625
360ONE,2023-01-23 00:00:00,360ONE-2023-01-23,2023-01-23 00:00:00,0,SEEDED,458.96430089628194,458.96430089628194,,inf,-inf,458.96430089628194,447.4901933738749,456.64605712890625
360ONE,2023-01-24 00:00:00,360ONE-2023-01-23,2023-01-23 00:00:00,1,FAILED_PROBE,458.96430089628194,458.96430089628194,458.96431781661306,454.749339387685,0.31886042856492275,458.96431781661306,454.749339387685,456.11920166015625
360ONE,2023-01-30 00:00:00,360ONE-2023-01-23,2023-01-23 00:00:00,4,DEPTH_INVALIDATED,458.96430089628194,458.96431781661306,,402.20308105623474,4.2939685789239626,440.9464274136656,402.20308105623474,435.9720764160156
360ONE,2023-02-07 00:00:00,360ONE-2023-02-07,2023-02-07 00:00:00,0,SEEDED,460.57213276252634,460.57213276252634,,inf,-inf,460.57213276252634,430.35964639554214,434.7904968261719
360ONE,2023-03-02 00:00:00,360ONE-2023-02-07,2023-02-07 00:00:00,17,FAILED_PROBE,460.57213276252634,460.57213276252634,463.12429467136684,401.7422975089728,3.5532383874918096,463.12429467136684,411.7027775590824,416.9016418457031
360ONE,2023-03-20 00:00:00,360ONE-2023-02-07,2023-02-07 00:00:00,28,DEPTH_INVALIDATED,460.57213276252634,463.12429467136684,,392.2779737643028,4.279017032337138,415.9091770031162,392.2779737643028,395.06646728515625
360ONE,2023-06-14 00:00:00,360ONE-2023-06-14,2023-06-14 00:00:00,0,SEEDED,420.0797340453962,420.0797340453962,,inf,-inf,420.0797340453962,413.25344419434765,418.64764404296875
