Entry_ID,Symbol,Seed_Date,Signal_Date,Base_Age,Original_Pivot,Active_Pivot,ATR14_Seed,ATR14_Signal,Base_Low,Base_Depth_ATR,Initial_TR_Mean,Final_TR_Mean,Contraction_Ratio,Final_5_Prebreakout_Low,Close,SMA50,SMA200,Median_Traded_Value_20,RS21,RS63,RS126,Composite_RS,RS_Coverage,Breakout_Volume_Ratio,Signal_Extension_ATR,Membership_OK,RS_Coverage_OK,Liquidity_OK,Trend_OK,RS_OK,Contraction_OK,Extension_OK,Signal_Qualified,Signal_Rejection_Reason
360ONE-2023-11-30,360ONE,2023-11-15 00:00:00,2023-11-30 00:00:00,10,551.0233223908691,552.5258036782927,16.02655837778032,16.615163882101317,515.2545782175573,2.325591345451268,18.039493091002576,14.62740876422031,0.8108547557534149,517.9202666040916,554.7068481445312,511.29950744628906,454.7848091125488,115809528.23083496,68.16326530612244,66.3265306122449,69.18367346938776,67.73469387755102,0.9780439121756487,3.8820359975719714,0.13126830898057212,True,True,True,True,False,False,True,False,RS_FAIL;CONTRACTION_FAIL
360ONE-2024-07-29,360ONE,2024-06-28 00:00:00,2024-07-29 00:00:00,20,1044.437967197753,1044.437967197753,41.92626034471068,43.851348467273574,902.4336283659978,3.3870022669377002,41.82656404284273,39.62978875083015,0.9474789444869907,938.9153904004818,1047.5272216796875,863.9639636230469,690.8513562011718,461069668.9472046,83.77281947261663,81.94726166328601,92.49492900608519,85.65922920892496,0.9801192842942346,2.5945078578340226,0.07044833488393011,True,True,True,True,True,False,True,False,CONTRACTION_FAIL
360ONE-2025-07-03,360ONE,2025-06-16 00:00:00,2025-07-03 00:00:00,13,1178.7275519158347,1195.642891855384,49.894740179913875,47.85400436893896,1088.216122090866,2.1530680263521,50.38970668295501,39.686597705253504,0.7875933462950286,1134.7083471894882,1213.3494873046875,1038.086826171875,1036.2583108520507,1214954147.1669312,97.98792756539235,90.54325955734407,45.87525150905433,79.37625754527164,0.9920159680638723,0.9091195675990101,0.3700128271981442,True,True,True,True,True,True,True,True,
360ONE-2026-08-20,360ONE,2026-08-05 00:00:00,2026-08-20 00:00:00,11,1194.699951171875,1197.0,33.36966992530871,32.01632320538469,1140.0,1.7081379626344229,28.6,29.7400146484375,1.0398606520432692,1149.199951171875,1203.0,1129.96400390625,1102.9041873168944,1095143508.2786865,84.6,54.6,57.8,64.56,1.0,1.851643457991928,0.18740440498148414,True,True,True,True,False,False,True,False,RS_FAIL;CONTRACTION_FAIL
3MINDIA-2023-08-11,3MINDIA,2023-07-13 00:00:00,2023-08-11 00:00:00,21,27470.966403455135,27709.43833910747,654.8121631669128,915.3735230403802,25357.39430677592,3.591936992978563,853.5926830268429,1166.8231144037723,1.3669553846996592,25357.39430677592,28063.115234375,26281.529609375,22876.09767578125,58082343.677734375,45.807770961145195,79.34560327198365,68.50715746421268,66.03271983640082,0.9741035856573705,4.613095238095238,0.38637439948318053,True,True,False,True,False,False,True,False,LIQUIDITY_FAIL;RS_FAIL;CONTRACTION_FAIL
3MINDIA-2025-08-07,3MINDIA,2025-07-22 00:00:00,2025-08-07 00:00:00,12,30962.03682231628,31444.608275359977,594.4780891909141,803.2560072422814,29586.516822509766,3.125584418727824,821.7957514478985,793.5079996584166,0.9655781235913637,29818.163714123562,31543.1796875,28901.5826953125,29085.17533203125,193771711.60351562,96.579476861167,72.83702213279678,60.160965794768615,76.1569416498994,0.9920159680638723,3.6838371375694017,0.12271481476800435,True,True,True,False,True,False,True,False,TREND_FAIL;CONTRACTION_FAIL
AADHARHFC-2026-05-05,AADHARHFC,2026-04-17 00:00:00,2026-05-05 00:00:00,12,503.0,506.70001220703125,17.301530611184752,15.408497567471697,477.3999938964844,1.6934928457488945,16.3400146484375,9.940008544921875,0.6083231110121667,481.04998779296875,517.4500122070312,472.8310009765625,491.4069996643066,176543399.17144775,70.34764826175869,62.985685071574636,62.985685071574636,65.19427402862985,0.9702380952380952,2.2598865565853505,0.6976669823211007,True,True,True,False,False,True,True,False,TREND_FAIL;RS_FAIL
AADHARHFC-2026-07-03,AADHARHFC,2026-06-19 00:00:00,2026-07-03 00:00:00,10,524.5,542.0,15.675274054665238,16.89475546335952,489.0,3.3811211092814206,18.6199951171875,12.2,0.6552096240207165,502.20001220703125,555.5999755859375,488.67099853515623,487.48999938964846,214017857.6300354,94.39999999999999,68.4,72.2,77.34,1.0,3.5605415562199574,0.8049820913615726,True,True,True,True,True,True,True,True,
AARTIDRUGS-2024-07-02,AARTIDRUGS,2024-06-10 00:00:00,2024-07-02 00:00:00,15,523.9410010147498,534.8068425512884,16.81363192247187,16.54199822136001,497.5454588390687,2.2161412765566015,10.895601628403927,14.418297701558355,1.3233135895838053,497.5454588390687,541.058349609375,494.13786682128904,500.51651672363283,73011870.38186646,,,,,0.9800796812749004,5.802685041538224,0.37791728510853834,False,True,False,False,False,False,True,False,NOT_POINT_IN_TIME_MEMBER;LIQUIDITY_FAIL;TREND_FAIL;RS_FAIL;CONTRACTION_FAIL
AARTIDRUGS-2026-08-11,AARTIDRUGS,2026-07-15 00:00:00,2026-08-11 00:00:00,19,427.8999938964844,435.25,12.635020902828304,13.31710772066514,401.0,2.7107196943641987,17.7,8.929998779296875,0.5045197050450212,407.25,439.3500061035156,393.58400085449216,391.8627001953125,71233723.74664307,,,,,1.0,8.037682740689583,0.30787511744410856,False,True,False,True,False,True,True,False,NOT_POINT_IN_TIME_MEMBER;LIQUIDITY_FAIL;RS_FAIL
