Removed_Top_N,Removed_Entry_IDs,Removed_Symbols,Remaining_Entry_Count,Setup_Mean_Return,Setup_Return_PF,Practical_Mean_R,Practical_R_PF
1,BAJAJ-AUTO-2023-11-15,BAJAJ-AUTO,84,-0.020149624352047826,0.3995878343704741,-0.28313376565396625,0.4254510138648196
3,BAJAJ-AUTO-2023-11-15;SWSOLAR-2024-01-11;HDFCAMC-2024-01-04,BAJAJ-AUTO;SWSOLAR;HDFCAMC,82,-0.024776411696671254,0.279298369608581,-0.3476334261810278,0.3113611935329782
5,BAJAJ-AUTO-2023-11-15;SWSOLAR-2024-01-11;HDFCAMC-2024-01-04;DIXON-2024-03-26;AUBANK-2025-06-02,BAJAJ-AUTO;SWSOLAR;HDFCAMC;DIXON;AUBANK,80,-0.028222264011997435,0.19908748393640702,-0.4043523525814335,0.2185412241103054
