Regime,Setup_Completed_Trades,Setup_Winners,Setup_Losers,Setup_Win_Rate,Setup_Mean_Return,Setup_Median_Return,Setup_Return_PF,Setup_Mean_R,Setup_Median_R,Setup_R_PF,Setup_Median_Holding_Sessions,Practical_Completed_Trades,Practical_Winners,Practical_Losers,Practical_Win_Rate,Practical_Mean_Return,Practical_Median_Return,Practical_Return_PF,Practical_Mean_R,Practical_Median_R,Practical_R_PF,Practical_Median_Holding_Sessions
HOSTILE,6,2,4,0.3333333333333333,-0.0208648131291831,-0.030500347674391276,0.30191349413326685,,,,8.0,6,2,4,0.3333333333333333,-0.008700244500923065,-0.019224599798881775,0.509126619463422,-0.37211670243456324,-0.5103473179930265,0.26086530296414634,7.5
NORMAL,39,14,25,0.358974358974359,0.0016864683178913985,-0.018750022901124125,1.0623737173840448,,,,11.0,39,14,25,0.358974358974359,0.005165362619058542,-0.017275707949538456,1.2192500620636615,0.2051957591019567,-0.419784737655731,1.5011562160136918,10.0
STRONG_MOMENTUM,40,6,34,0.15,-0.02980071756033296,-0.03285801174450704,0.2480227924830337,,,,10.0,40,6,34,0.15,-0.015551971973543566,-0.025691170711179982,0.4151235822821343,-0.4251251317389805,-0.5113359890629773,0.24103706765205918,9.5
